Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Group,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[mg],Biomass_[mg_WetWeight_m-3],Resp ulO2/m3/day,Excret ugN/m3/day,Biomass mgWW/m2,Resp ulO2/m2/day,Excret ugN/m2/day
SKQ202012,QuadNet,0.25,Vertical,150,2020-09-01T12:18:50-0800,2020-09-01T12:26:11-0800,-149.4679,59.8444,269,GAK01,0,100,0,1100,NAUP,Calanoida,Nauplius,22,0.00390625,8.25259022,682.4523997,319.4,12.1,3.93,2.680014871,5.50E+01,4.25E+00,2.68E+02,5.50E+03,4.25E+02
SKQ202012,QuadNet,0.25,Vertical,150,2020-09-01T12:18:50-0800,2020-09-01T12:26:11-0800,-149.4679,59.8444,269,GAK01,0,100,0,104108,SMCAL,Acartia,C1,1,0.03125,8.25259022,3.877570453,402.6,0,4.91,0.019031768,3.74E-01,2.91E-02,1.90E+00,3.74E+01,2.91E+00
SKQ202012,QuadNet,0.25,Vertical,150,2020-09-01T12:18:50-0800,2020-09-01T12:26:11-0800,-149.4679,59.8444,269,GAK01,0,100,0,104257,SMCAL,Acartia longiremis,C6 AF,6,0.03125,8.25259022,23.26542272,877.6,5.9,47.61,1.107661598,1.28E+01,1.06E+00,1.11E+02,1.28E+03,1.06E+02
SKQ202012,QuadNet,0.25,Vertical,150,2020-09-01T12:18:50-0800,2020-09-01T12:26:11-0800,-149.4679,59.8444,269,GAK01,0,100,0,104275,SMCAL,Aetideus armatus,C6 AF,1,1,8.25259022,0.121174077,1402.2,0,270.22,0.032743948,2.52E-01,2.21E-02,3.27E+00,2.52E+01,2.21E+00
SKQ202012,QuadNet,0.25,Vertical,150,2020-09-01T12:18:50-0800,2020-09-01T12:26:11-0800,-149.4679,59.8444,269,GAK01,0,100,0,104117,MDCAL,Chiridius,C5,1,1,8.25259022,0.121174077,1180.1,0,156.9,0.019012243,1.66E-01,1.43E-02,1.90E+00,1.66E+01,1.43E+00
SKQ202012,QuadNet,0.25,Vertical,150,2020-09-01T12:18:50-0800,2020-09-01T12:26:11-0800,-149.4679,59.8444,269,GAK01,0,100,0,196770,LGCAL,Calanus marshallae,C2,4,0.25,8.25259022,1.938785227,1005.2,2.6,61.38,0.119005712,1.30E+00,1.08E-01,1.19E+01,1.30E+02,1.08E+01
SKQ202012,QuadNet,0.25,Vertical,150,2020-09-01T12:18:50-0800,2020-09-01T12:26:11-0800,-149.4679,59.8444,269,GAK01,0,100,0,196770,LGCAL,Calanus marshallae,C3,3,0.25,8.25259022,1.45408892,1359.6,2.1,158.19,0.230025554,2.01E+00,1.73E-01,2.30E+01,2.01E+02,1.73E+01
SKQ202012,QuadNet,0.25,Vertical,150,2020-09-01T12:18:50-0800,2020-09-01T12:26:11-0800,-149.4679,59.8444,269,GAK01,0,100,0,196770,LGCAL,Calanus marshallae,C4,1,0.25,8.25259022,0.484696307,1723.1,0,332.38,0.161102251,1.18E+00,1.04E-01,1.61E+01,1.18E+02,1.04E+01
SKQ202012,QuadNet,0.25,Vertical,150,2020-09-01T12:18:50-0800,2020-09-01T12:26:11-0800,-149.4679,59.8444,269,GAK01,0,100,0,196770,LGCAL,Calanus marshallae,C5,2,0.25,8.25259022,0.969392613,2622.6,8,1254.77,1.216361238,6.52E+00,5.98E-01,1.22E+02,6.52E+02,5.98E+01
SKQ202012,QuadNet,0.25,Vertical,150,2020-09-01T12:18:50-0800,2020-09-01T12:26:11-0800,-149.4679,59.8444,269,GAK01,0,100,0,196770,LGCAL,Calanus marshallae,C6 AF,4,1,8.25259022,0.484696307,2825.8,5.6,1581.33,0.766465736,3.89E+00,3.60E-01,7.66E+01,3.89E+02,3.60E+01
SKQ202012,QuadNet,0.25,Vertical,150,2020-09-01T12:18:50-0800,2020-09-01T12:26:11-0800,-149.4679,59.8444,269,GAK01,0,100,0,196771,WMCAL,Calanus pacificus,C1,2,0.25,8.25259022,0.969392613,616.2,6.3,12.19,0.011817707,1.87E-01,1.50E-02,1.18E+00,1.87E+01,1.50E+00
SKQ202012,QuadNet,0.25,Vertical,150,2020-09-01T12:18:50-0800,2020-09-01T12:26:11-0800,-149.4679,59.8444,269,GAK01,0,100,0,196771,WMCAL,Calanus pacificus,C2,1,0.25,8.25259022,0.484696307,821.8,0,30.74,0.014897414,1.91E-01,1.56E-02,1.49E+00,1.91E+01,1.56E+00
SKQ202012,QuadNet,0.25,Vertical,150,2020-09-01T12:18:50-0800,2020-09-01T12:26:11-0800,-149.4679,59.8444,269,GAK01,0,100,0,196771,WMCAL,Calanus pacificus,C3,3,0.25,8.25259022,1.45408892,1151.9,3,91.9,0.133627649,1.32E+00,1.12E-01,1.34E+01,1.32E+02,1.12E+01
SKQ202012,QuadNet,0.25,Vertical,150,2020-09-01T12:18:50-0800,2020-09-01T12:26:11-0800,-149.4679,59.8444,269,GAK01,0,100,0,196771,WMCAL,Calanus pacificus,C4,5,0.25,8.25259022,2.423481533,1395.2,4.3,171.42,0.415441683,3.55E+00,3.07E-01,4.15E+01,3.55E+02,3.07E+01
SKQ202012,QuadNet,0.25,Vertical,150,2020-09-01T12:18:50-0800,2020-09-01T12:26:11-0800,-149.4679,59.8444,269,GAK01,0,100,0,196771,WMCAL,Calanus pacificus,C5,4,0.25,8.25259022,1.938785227,1723.6,4.4,339.74,0.65867959,4.80E+00,4.23E-01,6.59E+01,4.80E+02,4.23E+01
SKQ202012,QuadNet,0.25,Vertical,150,2020-09-01T12:18:50-0800,2020-09-01T12:26:11-0800,-149.4679,59.8444,269,GAK01,0,100,0,196771,WMCAL,Calanus pacificus,C6 AF,9,1,8.25259022,1.09056669,2128.9,3,671.39,0.732197427,4.55E+00,4.10E-01,7.32E+01,4.55E+02,4.10E+01
SKQ202012,QuadNet,0.25,Vertical,150,2020-09-01T12:18:50-0800,2020-09-01T12:26:11-0800,-149.4679,59.8444,269,GAK01,0,100,0,196771,WMCAL,Calanus pacificus,C6 AM,5,1,8.25259022,0.605870383,1974.9,2.9,526.36,0.318905845,2.10E+00,1.87E-01,3.19E+01,2.10E+02,1.87E+01
SKQ202012,QuadNet,0.25,Vertical,150,2020-09-01T12:18:50-0800,2020-09-01T12:26:11-0800,-149.4679,59.8444,269,GAK01,0,100,0,104468,SMCAL,Mesocalanus tenuicornis,C5,1,1,8.25259022,0.121174077,1315.7,0,122.67,0.014864812,1.38E-01,1.18E-02,1.49E+00,1.38E+01,1.18E+00
