Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Group,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[ug],Biomass_[mg_WetWeight_m-3],Resp ulO2/m3/day,Excret ugN/m3/day,Biomass mgWW/m2,Resp ulO2/m2/day,Excret ugN/m2/day
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,104275,SMCAL,Aetideus armatus,C6 AF,1,0.125,152.2,0.052562418,1342.2,0,235.43,1.24E-02,8.69E-02,7.56E-03,1.24E+00,8.69E+00,7.56E-01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,104115,SMCAL,Bradyidius,C3,6,0.125,152.2,0.315374507,1207.2,3.5,169.1,5.33E-02,4.04E-01,3.48E-02,5.33E+00,4.04E+01,3.48E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,104115,SMCAL,Bradyidius,C4,4,0.125,152.2,0.210249671,1414.6,3.5,278.75,5.86E-02,3.95E-01,3.46E-02,5.86E+00,3.95E+01,3.46E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,104115,SMCAL,Bradyidius,C5,1,0.125,152.2,0.052562418,1377.6,0,255.59,1.34E-02,9.25E-02,8.07E-03,1.34E+00,9.25E+00,8.07E-01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,104290,MDCAL,Chiridius gracilis,C4,1,0.125,152.2,0.052562418,1287.1,0,206.27,1.08E-02,7.85E-02,6.80E-03,1.08E+00,7.85E+00,6.80E-01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,104290,MDCAL,Chiridius gracilis,C5,1,0.125,152.2,0.052562418,1677.6,0,475.67,2.50E-02,1.49E-01,1.32E-02,2.50E+00,1.49E+01,1.32E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,104290,MDCAL,Chiridius gracilis,C6 AF,2,0.125,152.2,0.105124836,2081.1,1.6,939.12,9.87E-02,5.01E-01,4.55E-02,9.87E+00,5.01E+01,4.55E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,346494,MDCAL,Gaetanus simplex,C5,1,0.125,152.2,0.052562418,2205.6,0,979.18,5.15E-02,2.59E-01,2.35E-02,5.15E+00,2.59E+01,2.35E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C4,5,0.125,152.2,0.262812089,1863.5,5.4,428.27,1.13E-01,6.86E-01,6.07E-02,1.13E+01,6.86E+01,6.07E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C5,37,0.125,152.2,1.944809461,2523.4,8,1123.2,2.18E+00,1.06E+01,9.65E-01,2.18E+02,1.06E+03,9.65E+01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C6 AF,2,0.125,152.2,0.105124836,2962.3,2.1,1820.52,1.91E-01,8.32E-01,7.70E-02,1.91E+01,8.32E+01,7.70E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,104470,LGCAL,Neocalanus cristatus,C4,2,0.25,152.2,0.052562418,4016.1,1.7,3684.34,1.94E-01,7.14E-01,6.75E-02,1.94E+01,7.14E+01,6.75E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,104470,LGCAL,Neocalanus cristatus,C5,7,0.25,152.2,0.183968463,6393.4,11.3,14741.86,2.71E+00,7.17E+00,7.06E-01,2.71E+02,7.17E+02,7.06E+01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,353708,LGCAL,Neocalanus flemingeri,C6 AF,26,0.25,152.2,0.683311432,3877.9,5.7,4101.62,2.80E+00,1.01E+01,9.53E-01,2.80E+02,1.01E+03,9.53E+01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,196772,LGCAL,Neocalanus plumchrus,C4,2,0.25,152.2,0.052562418,2643.8,4.2,1075.1,5.65E-02,2.78E-01,2.53E-02,5.65E+00,2.78E+01,2.53E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,196772,LGCAL,Neocalanus plumchrus,C5,55,0.25,152.2,1.445466491,3762.9,4.2,3119.11,4.51E+00,1.73E+01,1.62E+00,4.51E+02,1.73E+03,1.62E+02
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,196774,SMCAL,Centropages abdominalis,C6 AM,1,0.125,152.2,0.052562418,921.8,0,84.67,4.45E-03,3.97E-02,3.35E-03,4.45E-01,3.97E+00,3.35E-01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,196775,LGCAL,Eucalanus bungii,C3,20,0.0625,152.2,2.102496715,2785.9,11.6,532.07,1.12E+00,6.42E+00,5.73E-01,1.12E+02,6.42E+02,5.73E+01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,196775,LGCAL,Eucalanus bungii,C4,46,0.0625,152.2,4.835742444,3496.5,6.2,1048.54,5.07E+00,2.50E+01,2.28E+00,5.07E+02,2.50E+03,2.28E+02
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,196775,LGCAL,Eucalanus bungii,C5,8,0.0625,152.2,0.840998686,4747.6,5.3,2705.95,2.28E+00,9.00E+00,8.43E-01,2.28E+02,9.00E+02,8.43E+01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,196775,LGCAL,Eucalanus bungii,C6 AF,1,0.0625,152.2,0.105124836,6116,0,5906.07,6.21E-01,2.05E+00,1.97E-01,6.21E+01,2.05E+02,1.97E+01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,196775,LGCAL,Eucalanus bungii,C6 AM,2,0.0625,152.2,0.210249671,4809.9,5.3,2808.72,5.91E-01,2.32E+00,2.17E-01,5.91E+01,2.32E+02,2.17E+01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,196779,LGCAL,Paraeuchaeta elongata,C6 AF,2,1,152.2,0.013140604,4222.1,1.2,6387.59,8.39E-02,2.72E-01,2.61E-02,8.39E+00,2.72E+01,2.61E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,196779,LGCAL,Paraeuchaeta elongata,C2,6,0.25,152.2,0.157687254,1323.7,3.1,148.88,2.35E-02,1.83E-01,1.57E-02,2.35E+00,1.83E+01,1.57E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,196779,LGCAL,Paraeuchaeta elongata,C3,1,0.25,152.2,0.026281209,1862.4,0,449.32,1.18E-02,7.13E-02,6.32E-03,1.18E+00,7.13E+00,6.32E-01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,196779,LGCAL,Paraeuchaeta elongata,C4,1,0.25,152.2,0.026281209,2785.6,0,1657.86,4.36E-02,1.94E-01,1.79E-02,4.36E+00,1.94E+01,1.79E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,196779,LGCAL,Paraeuchaeta elongata,C5,4,0.25,152.2,0.105124836,3662.7,3.6,4042.06,4.25E-01,1.53E+00,1.45E-01,4.25E+01,1.53E+02,1.45E+01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,196783,MDCAL,Metridia okhotensis,C4,2,0.0625,152.2,0.210249671,1384.3,2.2,265.11,5.57E-02,3.81E-01,3.32E-02,5.57E+00,3.81E+01,3.32E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,196783,MDCAL,Metridia okhotensis,C5,27,0.0625,152.2,2.838370565,1827.4,7.8,642.13,1.82E+00,1.01E+01,9.03E-01,1.82E+02,1.01E+03,9.03E+01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,196784,MDCAL,Metridia pacifica,C5,16,0.0625,152.2,1.681997372,1307.6,12.2,209.74,3.53E-01,2.52E+00,2.18E-01,3.53E+01,2.52E+02,2.18E+01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,196784,MDCAL,Metridia pacifica,C6 AF,45,0.0625,152.2,4.730617608,1796,7.4,542.47,2.57E+00,1.48E+01,1.32E+00,2.57E+02,1.48E+03,1.32E+02
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,196784,MDCAL,Metridia pacifica,C6 AM,20,0.0625,152.2,2.102496715,1209.7,6.3,159.9,3.36E-01,2.58E+00,2.22E-01,3.36E+01,2.58E+02,2.22E+01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,196782,MDCAL,Heterorhabdus tanneri,C6 AF,3,0.25,152.2,0.078843627,2396.3,7.3,1235.27,9.74E-02,4.62E-01,4.23E-02,9.74E+00,4.62E+01,4.23E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,104784,SMCAL,Racovitzanus antarcticus,C5,1,0.125,152.2,0.052562418,1507.8,0,229.71,1.21E-02,8.53E-02,7.41E-03,1.21E+00,8.53E+00,7.41E-01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,104784,SMCAL,Racovitzanus antarcticus,C6 AF,3,0.125,152.2,0.157687254,1672,5.8,320.89,5.06E-02,3.30E-01,2.90E-02,5.06E+00,3.30E+01,2.90E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,254330,MDCAL,Epilabidocera amphitrites,C6 AM,1,0.25,152.2,0.026281209,2325,0,810.07,2.13E-02,1.12E-01,1.01E-02,2.13E+00,1.12E+01,1.01E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,349800,MDCAL,Candacia columbiae,C6 AF,1,1,152.2,0.006570302,3034.8,0,2733.89,1.80E-02,7.10E-02,6.65E-03,1.80E+00,7.10E+00,6.65E-01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,349800,MDCAL,Candacia columbiae,C6 AM,1,1,152.2,0.006570302,2798.2,0,2148.66,1.41E-02,5.91E-02,5.49E-03,1.41E+00,5.91E+00,5.49E-01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,105440,CHAET,Parasagitta elegans,Mat. Stg. II,1,0.25,152.2,0.026281209,12721,0,3211.89,8.44E-02,1.21E-01,1.74E-02,8.44E+00,1.21E+01,1.74E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,105440,CHAET,Parasagitta elegans,Mat. Stg. III,1,0.25,152.2,0.026281209,15258.7,0,5665.89,1.49E-01,1.87E-01,2.74E-02,1.49E+01,1.87E+01,2.74E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,105440,CHAET,Parasagitta elegans,Mat. Stg. IV,25,0.25,152.2,0.657030223,23037.9,10.6,21234.32,1.40E+01,1.27E+01,1.94E+00,1.40E+03,1.27E+03,1.94E+02
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,105440,CHAET,Parasagitta elegans,Mat. Stg. V,1,0.25,152.2,0.026281209,21410.9,0,16305.92,4.29E-01,4.19E-01,6.35E-02,4.29E+01,4.19E+01,6.35E+00
