Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Group,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[ug],Biomass_[mg_WetWeight_m-3],Resp ulO2/m3/day,Excret ugN/m3/day,Biomass mgWW/m2,Resp ulO2/m2/day,Excret ugN/m2/day
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4728,59.8527,270,GAK01,1,200,100,104275,SMCAL,Aetideus armatus,C5,1,0.25,108,0.037037037,1410.6,0,275.4,1.02E-02,5.00E-02,4.44E-03,1.02E+00,5.00E+00,4.44E-01
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4728,59.8527,270,GAK01,1,200,100,104275,SMCAL,Aetideus armatus,C6 AF,4,0.25,108,0.148148148,1350.6,13.8,252.24,3.74E-02,1.85E-01,1.64E-02,3.74E+00,1.85E+01,1.64E+00
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4728,59.8527,270,GAK01,1,200,100,104275,SMCAL,Aetideus armatus,C6 AM,3,0.25,108,0.111111111,1361.2,10.4,251.94,2.80E-02,1.39E-01,1.23E-02,2.80E+00,1.39E+01,1.23E+00
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4728,59.8527,270,GAK01,1,200,100,104115,SMCAL,Bradyidius,C5,1,0.25,108,0.037037037,1490.8,0,327.85,1.21E-02,5.72E-02,5.10E-03,1.21E+00,5.72E+00,5.10E-01
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4728,59.8527,270,GAK01,1,200,100,104117,MDCAL,Chiridius,C4,3,0.25,108,0.111111111,1255.2,4.9,191.6,2.13E-02,1.13E-01,9.96E-03,2.13E+00,1.13E+01,9.96E-01
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4728,59.8527,270,GAK01,1,200,100,104290,MDCAL,Chiridius gracilis,C5,1,0.25,108,0.037037037,1690.4,0,487.23,1.80E-02,7.74E-02,6.99E-03,1.80E+00,7.74E+00,6.99E-01
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4728,59.8527,270,GAK01,1,200,100,104290,MDCAL,Chiridius gracilis,C6 AF,1,0.25,108,0.037037037,1995.7,0,822.47,3.05E-02,1.16E-01,1.06E-02,3.05E+00,1.16E+01,1.06E+00
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4728,59.8527,270,GAK01,1,200,100,346494,MDCAL,Gaetanus simplex,C5,3,0.25,108,0.111111111,2273,4.2,1095.52,1.22E-01,4.32E-01,3.99E-02,1.22E+01,4.32E+01,3.99E+00
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4728,59.8527,270,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C3,1,0.0078125,108,1.185185185,1542.3,0,234.74,2.78E-01,1.42E+00,1.25E-01,2.78E+01,1.42E+02,1.25E+01
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4728,59.8527,270,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C4,41,0.0078125,108,48.59259259,2034.6,5.7,565.64,2.75E+01,1.14E+02,1.03E+01,2.75E+03,1.14E+04,1.03E+03
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4728,59.8527,270,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C5,24,0.0078125,108,28.44444444,2613.8,8.1,1253.7,3.57E+01,1.22E+02,1.13E+01,3.57E+03,1.22E+04,1.13E+03
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4728,59.8527,270,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C6 AF,4,0.0078125,108,4.740740741,2840.3,6.3,1610.2,7.63E+00,2.47E+01,2.31E+00,7.63E+02,2.47E+03,2.31E+02
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4728,59.8527,270,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C6 AM,2,0.0078125,108,2.37037037,2911.2,14.9,1786.95,4.24E+00,1.33E+01,1.25E+00,4.24E+02,1.33E+03,1.25E+02
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4728,59.8527,270,GAK01,1,200,100,196771,WMCAL,Calanus pacificus,C5,2,0.125,108,0.148148148,1587.4,5.7,260.39,3.86E-02,1.91E-01,1.70E-02,3.86E+00,1.91E+01,1.70E+00
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4728,59.8527,270,GAK01,1,200,100,196771,WMCAL,Calanus pacificus,C6 AM,1,0.125,108,0.074074074,2209,0,754.41,5.59E-02,2.16E-01,1.98E-02,5.59E+00,2.16E+01,1.98E+00
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4728,59.8527,270,GAK01,1,200,100,104470,LGCAL,Neocalanus cristatus,C3,2,0.25,108,0.074074074,2578.3,4.4,1014.57,7.52E-02,2.71E-01,2.50E-02,7.52E+00,2.71E+01,2.50E+00
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4728,59.8527,270,GAK01,1,200,100,104470,LGCAL,Neocalanus cristatus,C4,7,0.25,108,0.259259259,4395.5,2.6,4798.96,1.24E+00,3.12E+00,3.02E-01,1.24E+02,3.12E+02,3.02E+01
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4728,59.8527,270,GAK01,1,200,100,104470,LGCAL,Neocalanus cristatus,C5,28,0.25,108,1.037037037,6189.4,3.2,13030.9,1.35E+01,2.69E+01,2.68E+00,1.35E+03,2.69E+03,2.68E+02
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4728,59.8527,270,GAK01,1,200,100,353708,LGCAL,Neocalanus flemingeri,C3,1,0.015625,108,0.592592593,1939.2,0,441.12,2.61E-01,1.15E+00,1.03E-01,2.61E+01,1.15E+02,1.03E+01
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4728,59.8527,270,GAK01,1,200,100,353708,LGCAL,Neocalanus flemingeri,C5,20,0.015625,108,11.85185185,3293.2,8.7,2465.4,2.92E+01,8.52E+01,8.08E+00,2.92E+03,8.52E+03,8.08E+02
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4728,59.8527,270,GAK01,1,200,100,353708,LGCAL,Neocalanus flemingeri,C6 AM,25,0.015625,108,14.81481481,3080.1,4.8,1955.79,2.90E+01,8.96E+01,8.44E+00,2.90E+03,8.96E+03,8.44E+02
