Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Group,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[mg],Biomass_[mg_WetWeight_m-3],Resp ulO2/m3/day,Excret ugN/m3/day,Biomass mgWW/m2,Resp ulO2/m2/day,Excret ugN/m2/day
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,1100,NAUP,Calanoida,Nauplius,32,0.00195313,7.723,2121.450082,362.5,26.2,6.28,13.32870101,1.65E+02,1.32E+01,1.33E+03,1.65E+04,1.32E+03
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,1100,NAUP,Calanoida,Nauplius,9,0.00390625,7.723,298.3296646,557.2,48.3,26.78,7.989796966,6.60E+01,5.54E+00,7.99E+02,6.60E+03,5.54E+02
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,104108,SMCAL,Acartia,C1,3,0.015625,7.723,24.86080539,370.5,13.7,3.99,0.099102826,1.42E+00,1.11E-01,9.91E+00,1.42E+02,1.11E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,104108,SMCAL,Acartia,C2,1,0.015625,7.723,8.286935129,523.3,0,10.52,0.087137205,1.00E+00,8.08E-02,8.71E+00,1.00E+02,8.08E+00
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,104108,SMCAL,Acartia,C3,2,0.015625,7.723,16.57387026,584.3,7.1,14.58,0.241657246,2.57E+00,2.09E-01,2.42E+01,2.57E+02,2.09E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,104257,SMCAL,Acartia longiremis,C6 AF,7,0.0625,7.723,14.50213648,1052,10.2,81.95,1.188413725,8.39E+00,7.21E-01,1.19E+02,8.39E+02,7.21E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,104257,SMCAL,Acartia longiremis,C6 AM,3,0.0625,7.723,6.215201347,878.8,5.9,47.72,0.296587993,2.39E+00,2.02E-01,2.97E+01,2.39E+02,2.02E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196770,LGCAL,Calanus marshallae,C1,32,0.015625,7.723,265.1819241,816.5,4.5,32.13,8.520443245,7.52E+01,6.28E+00,8.52E+02,7.52E+03,6.28E+02
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196770,LGCAL,Calanus marshallae,C2,24,0.015625,7.723,198.8864431,1115.1,8,86.5,17.20409258,1.20E+02,1.03E+01,1.72E+03,1.20E+04,1.03E+03
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196770,LGCAL,Calanus marshallae,C3,10,0.015625,7.723,82.86935129,1614.5,5.9,273.86,22.69454597,1.21E+02,1.08E+01,2.27E+03,1.21E+04,1.08E+03
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196770,LGCAL,Calanus marshallae,C4,7,0.015625,7.723,58.0085459,2112.2,6.9,638.2,37.02119076,1.62E+02,1.48E+01,3.70E+03,1.62E+04,1.48E+03
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196770,LGCAL,Calanus marshallae,C5,3,0.015625,7.723,24.86080539,2745.7,1.9,1434.74,35.66890396,1.30E+02,1.21E+01,3.57E+03,1.30E+04,1.21E+03
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196770,LGCAL,Calanus marshallae,C6 AF,5,0.5,7.723,1.294833614,2975.3,8.3,1877.23,2.430698615,8.26E+00,7.80E-01,2.43E+02,8.26E+02,7.80E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,104155,LGCAL,Neocalanus,C1,12,0.0625,7.723,24.86080539,800.7,3.9,33.61,0.835580133,7.30E+00,6.11E-01,8.36E+01,7.30E+02,6.11E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,104155,LGCAL,Neocalanus,C2,16,0.0625,7.723,33.14774052,1216.7,6.8,114.71,3.802421905,2.49E+01,2.16E+00,3.80E+02,2.49E+03,2.16E+02
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,104470,LGCAL,Neocalanus cristatus,C4,2,1,7.723,0.258966723,4578.5,0.6,5396.72,1.397570568,3.73E+00,3.63E-01,1.40E+02,3.73E+02,3.63E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,353708,LGCAL,Neocalanus flemingeri,C4,12,0.125,7.723,12.43040269,2665.9,6.3,1237.8,15.38635983,5.77E+01,5.38E+00,1.54E+03,5.77E+03,5.38E+02
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,353708,LGCAL,Neocalanus flemingeri,C5,22,0.125,7.723,22.7890716,3564.8,10.6,3223.69,73.46479709,2.19E+02,2.10E+01,7.35E+03,2.19E+04,2.10E+03
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196772,LGCAL,Neocalanus plumchrus,C3,19,0.125,7.723,19.68147093,1936.3,4,421.86,8.302852984,4.01E+01,3.62E+00,8.30E+02,4.01E+03,3.62E+02
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196772,LGCAL,Neocalanus plumchrus,C4,20,0.125,7.723,20.71733782,2783.8,6.1,1266.16,26.23151985,9.79E+01,9.13E+00,2.62E+03,9.79E+03,9.13E+02
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196772,LGCAL,Neocalanus plumchrus,C5,12,0.125,7.723,12.43040269,3609,7.4,2777.5,34.52546801,1.07E+02,1.02E+01,3.45E+03,1.07E+04,1.02E+03
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196774,SMCAL,Centropages abdominalis,C2,1,0.03125,7.723,4.143467564,448.1,0,8.87,0.036767209,4.39E-01,3.53E-02,3.68E+00,4.39E+01,3.53E+00
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196774,SMCAL,Centropages abdominalis,C4,1,0.03125,7.723,4.143467564,801.9,0,54.76,0.22689781,1.77E+00,1.50E-01,2.27E+01,1.77E+02,1.50E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196774,SMCAL,Centropages abdominalis,C5,1,0.03125,7.723,4.143467564,1210.1,0,198.35,0.82187237,4.75E+00,4.19E-01,8.22E+01,4.75E+02,4.19E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,104196,WMCAL,Paracalanus,C4,1,0.0625,7.723,2.071733782,536.3,0,8.78,0.018184363,2.18E-01,1.75E-02,1.82E+00,2.18E+01,1.75E+00
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,104513,SMCAL,Microcalanus pygmaeus,C5,2,0.0625,7.723,4.143467564,513.8,5.7,7.71,0.031942539,3.94E-01,3.15E-02,3.19E+00,3.94E+01,3.15E+00
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,104513,SMCAL,Microcalanus pygmaeus,C6 AF,1,0.0625,7.723,2.071733782,537.8,0,8.85,0.01834224,2.19E-01,1.76E-02,1.83E+00,2.19E+01,1.76E+00
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,104165,SMCAL,Pseudocalanus,C1,18,0.00390625,7.723,596.6593293,425,7.3,4.28,2.554491544,3.60E+01,2.84E+00,2.55E+02,3.60E+03,2.84E+02
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,104165,SMCAL,Pseudocalanus,C2,16,0.00390625,7.723,530.3638482,556.6,6.4,10,5.301219805,6.14E+01,4.95E+00,5.30E+02,6.14E+03,4.95E+02
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,104165,SMCAL,Pseudocalanus,C3,10,0.00390625,7.723,331.4774052,677.2,10.4,18.92,6.272153351,6.23E+01,5.12E+00,6.27E+02,6.23E+03,5.12E+02
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,104165,SMCAL,Pseudocalanus,C4,8,0.00390625,7.723,265.1819241,820.3,4.5,33.79,8.959866797,7.82E+01,6.54E+00,8.96E+02,7.82E+03,6.54E+02
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,104165,SMCAL,Pseudocalanus,C5,7,0.00390625,7.723,232.0341836,983.1,9,60.95,14.14220826,1.07E+02,9.11E+00,1.41E+03,1.07E+04,9.11E+02
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,104165,SMCAL,Pseudocalanus,C1,1,0.0625,7.723,2.071733782,674.3,0,18.08,0.037464763,3.79E-01,3.11E-02,3.75E+00,3.79E+01,3.11E+00
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,104165,SMCAL,Pseudocalanus,C6 AM,27,0.0625,7.723,55.93681212,918,7.2,48.74,2.726149203,2.18E+01,1.84E+00,2.73E+02,2.18E+03,1.84E+02
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,355067,SMCAL,Pseudocalanus mimus,C6 AF,42,0.0625,7.723,87.01281885,1170.9,10.1,106.76,9.289405357,6.15E+01,5.33E+00,9.29E+02,6.15E+03,5.33E+02
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,104517,SMCAL,Pseudocalanus minutus,C6 AF,1,0.0625,7.723,2.071733782,1372.4,0,170.67,0.353584445,2.12E+00,1.86E-01,3.54E+01,2.12E+02,1.86E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,157679,SMCAL,Pseudocalanus newmani,C6 AF,15,0.0625,7.723,31.07600673,994.7,11.8,64.42,2.001772533,1.49E+01,1.27E+00,2.00E+02,1.49E+03,1.27E+02
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196775,LGCAL,Eucalanus bungii,C1,4,0.125,7.723,4.143467564,1265,6.2,44.12,0.182798878,1.50E+00,1.26E-01,1.83E+01,1.50E+02,1.26E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196775,LGCAL,Eucalanus bungii,C2,2,0.125,7.723,2.071733782,1999,3.8,182.08,0.377221812,2.22E+00,1.95E-01,3.77E+01,2.22E+02,1.95E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196775,LGCAL,Eucalanus bungii,C6 AF,4,1,7.723,0.517933446,6072,6.7,5838.99,3.024206307,7.89E+00,7.71E-01,3.02E+02,7.89E+02,7.71E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196775,LGCAL,Eucalanus bungii,C6 AM,1,1,7.723,0.129483361,4216.6,0,1855.51,0.24025829,8.22E-01,7.76E-02,2.40E+01,8.22E+01,7.76E+00
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196783,MDCAL,Metridia okhotensis,C1,17,0.0625,7.723,35.2194743,578.8,4.3,17.54,0.61775883,6.28E+00,5.16E-01,6.18E+01,6.28E+02,5.16E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196783,MDCAL,Metridia okhotensis,C2,6,0.0625,7.723,12.43040269,763.5,4.4,41.6,0.517066933,4.30E+00,3.62E-01,5.17E+01,4.30E+02,3.62E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196783,MDCAL,Metridia okhotensis,C3,2,0.0625,7.723,4.143467564,892.2,5.2,67.57,0.279971779,2.08E+00,1.78E-01,2.80E+01,2.08E+02,1.78E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196783,MDCAL,Metridia okhotensis,C4,6,0.0625,7.723,12.43040269,1515.6,4.7,353.5,4.394181051,2.21E+01,1.99E+00,4.39E+02,2.21E+03,1.99E+02
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196783,MDCAL,Metridia okhotensis,C5,2,0.0625,7.723,4.143467564,1765.1,12.4,579.64,2.40170765,1.07E+01,9.78E-01,2.40E+02,1.07E+03,9.78E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196783,MDCAL,Metridia okhotensis,C6 AF,2,0.25,7.723,1.035866891,2543.4,5.9,1777.63,1.841388699,6.36E+00,5.99E-01,1.84E+02,6.36E+02,5.99E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196784,MDCAL,Metridia pacifica,C1,5,0.0625,7.723,10.35866891,510.1,3.9,11.14,0.115364283,1.31E+00,1.06E-01,1.15E+01,1.31E+02,1.06E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196784,MDCAL,Metridia pacifica,C2,5,0.0625,7.723,10.35866891,640.4,11.3,23.07,0.238958357,2.26E+00,1.87E-01,2.39E+01,2.26E+02,1.87E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196784,MDCAL,Metridia pacifica,C3,4,0.0625,7.723,8.286935129,797.1,4.6,44.02,0.364821354,2.99E+00,2.52E-01,3.65E+01,2.99E+02,2.52E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196784,MDCAL,Metridia pacifica,C4,3,0.0625,7.723,6.215201347,1087.8,5.8,114.83,0.71367576,4.68E+00,4.06E-01,7.14E+01,4.68E+02,4.06E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196784,MDCAL,Metridia pacifica,C5,8,0.0625,7.723,16.57387026,1528.2,7.6,329.61,5.462864355,2.79E+01,2.50E+00,5.46E+02,2.79E+03,2.50E+02
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,196784,MDCAL,Metridia pacifica,C6 AF,27,0.125,7.723,27.96840606,2161.6,5.7,951.77,26.61936697,1.06E+02,9.83E+00,2.66E+03,1.06E+04,9.83E+02
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,106656,NONCAL,Oithona similis,C1-5,66,0.00390625,7.723,2187.750874,415,14.5,9.77,21.36784813,2.46E+02,1.98E+01,2.14E+03,2.46E+04,1.98E+03
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,106656,NONCAL,Oithona similis,C6 AF,5,0.00390625,7.723,165.7387026,467.9,8.1,13.6,2.254112899,2.43E+01,1.98E+00,2.25E+02,2.43E+03,1.98E+02
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,106656,NONCAL,Oithona similis,C6 AM,3,0.00390625,7.723,99.44322155,429,10.2,10.39,1.032984891,1.18E+01,9.56E-01,1.03E+02,1.18E+03,9.56E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,157737,NONCAL,Oithona spinirostris,C1-5,1,0.0625,7.723,2.071733782,611.6,0,31.22,0.064677836,5.76E-01,4.81E-02,6.47E+00,5.76E+01,4.81E+00
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,157737,NONCAL,Oithona spinirostris,C6 AF,1,0.0625,7.723,2.071733782,727.8,0,54.17,0.112229419,8.78E-01,7.45E-02,1.12E+01,8.78E+01,7.45E+00
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,128956,NONCAL,Triconia borealis,C1-5,1,0.015625,7.723,8.286935129,374.4,0,6.59,0.054640208,7.00E-01,5.58E-02,5.46E+00,7.00E+01,5.58E+00
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,128956,NONCAL,Triconia borealis,C6 AF,2,0.015625,7.723,16.57387026,490,6.2,15.58,0.258153793,2.70E+00,2.21E-01,2.58E+01,2.70E+02,2.21E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,128956,NONCAL,Triconia borealis,C6 AM,1,0.015625,7.723,8.286935129,294.1,0,3.07,0.025443123,3.90E-01,3.03E-02,2.54E+00,3.90E+01,3.03E+00
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,105440,CHAET,Parasagitta elegans,Mat. Stg. II,12,0.5,7.723,3.107600673,8277.9,45.8,1403.23,4.360685449,5.34E+00,7.76E-01,4.36E+02,5.34E+02,7.76E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,105416,CHAET,Eukrohnia hamata,Mat. Stg. II,1,0.5,7.723,0.258966723,7645.4,0,443.71,0.114907173,2.07E-01,2.86E-02,1.15E+01,2.07E+01,2.86E+00
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,105416,CHAET,Eukrohnia hamata,Mat. Stg. IV,1,0.5,7.723,0.258966723,16579.6,0,7599.25,1.967952489,1.82E+00,2.75E-01,1.97E+02,1.82E+02,2.75E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,139178,PTER,Clione limacina, ,1,0.125,7.723,1.035866891,715.2,0,134.55,0.139375909,9.81E-01,4.96E-02,1.39E+01,9.81E+01,4.96E+00
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,140223,PTER,Limacina helicina, ,24,0.015625,7.723,198.8864431,340.4,45.1,19.01,3.780096162,3.61E+01,1.74E+00,3.78E+02,3.61E+03,1.74E+02
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,140223,PTER,Limacina helicina, ,8,0.5,7.723,2.071733782,1954.2,15.1,1836.56,3.80486554,1.43E+01,7.83E-01,3.80E+02,1.43E+03,7.83E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,103367,LARV,Oikopleura, ,2,0.03125,7.723,8.286935129,382.3,76.7,26.59,0.220365705,3.34E+00,2.78E-01,2.20E+01,3.34E+02,2.78E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,103413,LARV,Oikopleura labradoriensis, ,30,0.03125,7.723,124.3040269,1058.4,57.2,359.49,44.68651906,3.65E+02,3.29E+01,4.47E+03,3.65E+04,3.29E+03
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,103375,LARV,Fritillaria borealis, ,63,0.00390625,7.723,2088.307652,460.3,25.9,1.08,2.25543708,7.62E+01,5.72E+00,2.26E+02,7.62E+03,5.72E+02
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,254453,AMPH,Themisto pacifica, ,1,0.5,7.723,0.258966723,2360.6,0,535.29,0.138623192,1.07E+00,6.45E-02,1.39E+01,1.07E+02,6.45E+00
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,254453,AMPH,Themisto pacifica, ,1,1,7.723,0.129483361,4453.8,0,3249.26,0.420725203,2.13E+00,1.35E-01,4.21E+01,2.13E+02,1.35E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,106777,MERO,Hippolytidae,Zoea,2,1,7.723,0.258966723,3539.1,15.7,677.4,0.175424926,1.58E+00,7.72E-02,1.75E+01,1.58E+02,7.72E+00
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,106789,DECA,Pandalidae,Zoea,2,1,7.723,0.258966723,7769.7,7.6,7668.29,1.985831688,1.02E+01,5.36E-01,1.99E+02,1.02E+03,5.36E+01
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,106673,MERO,Brachyura,Zoea,1,1,7.723,0.129483361,1206.3,0,793.98,0.102807845,8.98E-01,4.41E-02,1.03E+01,8.98E+01,4.41E+00
SKQ202106,QuadNet,0.25,Vertical,150,2021-05-01T07:06:37-0800,2021-05-01T07:11:49-0800,-149.4665,59.8445,269,GAK01,0,100,0,106738,MERO,Paguridae,Zoea,2,1,7.723,0.258966723,1382.4,9.3,1085.21,0.281032627,2.28E+00,1.13E-01,2.81E+01,2.28E+02,1.13E+01
