Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Group,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[ug],Biomass_[mg_WetWeight_m-3],Resp ulO2/m3/day,Excret ugN/m3/day,Biomass mgWW/m2,Resp ulO2/m2/day,Excret ugN/m2/day
TGX201809,Multinet,0.5,Oblique,505,2018-09-11T23:52:28-0800,2018-09-12T00:35:54-0800,-149.4488,59.8129,293,GAK01,1,200,100,104075,MDCAL,Aetideidae,C3,5,0.125,236,0.169491525,1255.2,5.5,192.13,3.26E-02,2.16E-01,1.88E-02,3.26E+00,2.16E+01,1.88E+00
TGX201809,Multinet,0.5,Oblique,505,2018-09-11T23:52:28-0800,2018-09-12T00:35:54-0800,-149.4488,59.8129,293,GAK01,1,200,100,104075,MDCAL,Aetideidae,C4,8,0.125,236,0.271186441,1303,3.5,215.2,5.84E-02,3.77E-01,3.29E-02,5.84E+00,3.77E+01,3.29E+00
TGX201809,Multinet,0.5,Oblique,505,2018-09-11T23:52:28-0800,2018-09-12T00:35:54-0800,-149.4488,59.8129,293,GAK01,1,200,100,104112,SMCAL,Aetideus,C6 AF,5,0.125,236,0.169491525,1636,8.9,448.47,7.60E-02,4.12E-01,3.67E-02,7.60E+00,4.12E+01,3.67E+00
TGX201809,Multinet,0.5,Oblique,505,2018-09-11T23:52:28-0800,2018-09-12T00:35:54-0800,-149.4488,59.8129,293,GAK01,1,200,100,104117,MDCAL,Chiridius,C6 AF,1,0.125,236,0.033898305,2046.4,0,890.18,3.02E-02,1.40E-01,1.27E-02,3.02E+00,1.40E+01,1.27E+00
TGX201809,Multinet,0.5,Oblique,505,2018-09-11T23:52:28-0800,2018-09-12T00:35:54-0800,-149.4488,59.8129,293,GAK01,1,200,100,104117,MDCAL,Chiridius,C6 AM,1,0.125,236,0.033898305,1690.3,0,487.11,1.65E-02,8.82E-02,7.88E-03,1.65E+00,8.82E+00,7.88E-01
TGX201809,Multinet,0.5,Oblique,505,2018-09-11T23:52:28-0800,2018-09-12T00:35:54-0800,-149.4488,59.8129,293,GAK01,1,200,100,346494,MDCAL,Gaetanus simplex,C4,1,0.125,236,0.033898305,1587.6,0,304.43,1.03E-02,6.15E-02,5.42E-03,1.03E+00,6.15E+00,5.42E-01
TGX201809,Multinet,0.5,Oblique,505,2018-09-11T23:52:28-0800,2018-09-12T00:35:54-0800,-149.4488,59.8129,293,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C4,3,0.03125,236,0.406779661,1880.8,0.5,437.48,1.78E-01,9.75E-01,8.68E-02,1.78E+01,9.75E+01,8.68E+00
TGX201809,Multinet,0.5,Oblique,505,2018-09-11T23:52:28-0800,2018-09-12T00:35:54-0800,-149.4488,59.8129,293,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C5,8,0.03125,236,1.084745763,2493.1,5.3,1068.12,1.16E+00,5.14E+00,4.70E-01,1.16E+02,5.14E+02,4.70E+01
TGX201809,Multinet,0.5,Oblique,505,2018-09-11T23:52:28-0800,2018-09-12T00:35:54-0800,-149.4488,59.8129,293,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C6 AF,2,0.125,236,0.06779661,2700.1,4.1,1363.98,9.25E-02,3.88E-01,3.57E-02,9.25E+00,3.88E+01,3.57E+00
TGX201809,Multinet,0.5,Oblique,505,2018-09-11T23:52:28-0800,2018-09-12T00:35:54-0800,-149.4488,59.8129,293,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C6 AM,2,0.125,236,0.06779661,2851.1,3.9,1617.49,1.10E-01,4.42E-01,4.09E-02,1.10E+01,4.42E+01,4.09E+00
