Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Group,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[mg],Biomass_[mg_WetWeight_m-3],Resp ulO2/m3/day,Excret ugN/m3/day,Biomass mgWW/m2,Resp ulO2/m2/day,Excret ugN/m2/day
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,1100,NAUP,Calanoida,Nauplius,32,0.00390625,13.80271668,593.5063502,304.6,17.1,3.56,2.112656099,4.20E+01,3.24E+00,2.11E+02,4.20E+03,3.24E+02
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,104108,SMCAL,Acartia,C1,2,0.0078125,13.80271668,18.54707344,371.7,7.9,3.92,0.072765747,1.43E+00,1.11E-01,7.28E+00,1.43E+02,1.11E+01
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,104108,SMCAL,Acartia,C2,1,0.0078125,13.80271668,9.273536722,428.5,0,5.88,0.054522556,9.79E-01,7.66E-02,5.45E+00,9.79E+01,7.66E+00
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,104108,SMCAL,Acartia,C3,4,0.0078125,13.80271668,37.09414689,555.7,12.5,12.93,0.479721359,7.10E+00,5.69E-01,4.80E+01,7.10E+02,5.69E+01
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,104108,SMCAL,Acartia,C4,1,0.0078125,13.80271668,9.273536722,647.7,0,19.53,0.181134041,2.46E+00,1.99E-01,1.81E+01,2.46E+02,1.99E+01
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,104257,SMCAL,Acartia longiremis,C5,1,0.015625,13.80271668,4.636768361,685.7,0,23.06,0.106906073,1.39E+00,1.14E-01,1.07E+01,1.39E+02,1.14E+01
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,104257,SMCAL,Acartia longiremis,C6 AF,3,0.015625,13.80271668,13.91030508,863.4,1.5,45.06,0.626797623,6.99E+00,5.81E-01,6.27E+01,6.99E+02,5.81E+01
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,104257,SMCAL,Acartia longiremis,C6 AM,6,0.015625,13.80271668,27.82061017,773.5,7.2,33.11,0.921211772,1.10E+01,9.07E-01,9.21E+01,1.10E+03,9.07E+01
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,196770,LGCAL,Calanus marshallae,C3,2,0.125,13.80271668,1.15919209,1386.8,2,168.28,0.195074212,1.60E+00,1.38E-01,1.95E+01,1.60E+02,1.38E+01
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,196770,LGCAL,Calanus marshallae,C4,2,0.125,13.80271668,1.15919209,1961.1,2.5,499.3,0.578780546,3.67E+00,3.28E-01,5.79E+01,3.67E+02,3.28E+01
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,196770,LGCAL,Calanus marshallae,C5,4,0.125,13.80271668,2.318384181,2551.2,6.3,1149.48,2.664927642,1.39E+01,1.27E+00,2.66E+02,1.39E+03,1.27E+02
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,196770,LGCAL,Calanus marshallae,C3,1,0.25,13.80271668,0.289798023,1440.4,0,189.41,0.054889809,4.37E-01,3.80E-02,5.49E+00,4.37E+01,3.80E+00
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,196770,LGCAL,Calanus marshallae,C6 AF,1,0.25,13.80271668,0.289798023,2817.6,0,1554.66,0.450538713,2.19E+00,2.03E-01,4.51E+01,2.19E+02,2.03E+01
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,196771,WMCAL,Calanus pacificus,C1,1,0.125,13.80271668,0.579596045,610.1,0,11.72,0.006793328,1.04E-01,8.29E-03,6.79E-01,1.04E+01,8.29E-01
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,196771,WMCAL,Calanus pacificus,C2,1,0.125,13.80271668,0.579596045,807.3,0,29.01,0.016814057,2.08E-01,1.71E-02,1.68E+00,2.08E+01,1.71E+00
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,196771,WMCAL,Calanus pacificus,C3,3,0.125,13.80271668,1.738788135,1229.4,7.9,114.89,0.199774006,1.78E+00,1.53E-01,2.00E+01,1.78E+02,1.53E+01
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,196771,WMCAL,Calanus pacificus,C4,3,0.125,13.80271668,1.738788135,1406.9,1.6,175.27,0.304764046,2.47E+00,2.14E-01,3.05E+01,2.47E+02,2.14E+01
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,196771,WMCAL,Calanus pacificus,C5,5,0.125,13.80271668,2.897980226,1780.6,9.5,385.33,1.116678611,7.49E+00,6.64E-01,1.12E+02,7.49E+02,6.64E+01
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,196771,WMCAL,Calanus pacificus,C6 AF,2,0.25,13.80271668,0.579596045,2058.9,5.9,604.65,0.350450481,2.12E+00,1.91E-01,3.50E+01,2.12E+02,1.91E+01
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,104468,SMCAL,Mesocalanus tenuicornis,C6 AF,1,0.5,13.80271668,0.144899011,1646.9,0,345.73,0.050095778,3.47E-01,3.07E-02,5.01E+00,3.47E+01,3.07E+00
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,196774,SMCAL,Centropages abdominalis,C6 AF,3,0.125,13.80271668,1.738788135,1227.6,2.8,207.82,0.361348021,2.82E+00,2.45E-01,3.61E+01,2.82E+02,2.45E+01
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,104161,WMCAL,Clausocalanus,C6 AF,1,0.5,13.80271668,0.144899011,1429.7,0,194.19,0.028137243,2.23E-01,1.94E-02,2.81E+00,2.23E+01,1.94E+00
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,104196,WMCAL,Paracalanus,C3,1,0.015625,13.80271668,4.636768361,374.6,0,2.83,0.013104443,2.79E-01,2.14E-02,1.31E+00,2.79E+01,2.14E+00
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,104196,WMCAL,Paracalanus,C6 AF,1,0.015625,13.80271668,4.636768361,772.8,0,27.82,0.128972767,1.61E+00,1.32E-01,1.29E+01,1.61E+02,1.32E+01
TGX202109,QuadNet,0.25,Vertical,150,2021-09-25T08:58:17-0800,2021-09-25T09:03:37-0800,-149.4815,59.8469,269,GAK01,0,100,0,104513,SMCAL,Microcalanus pygmaeus,C4,1,0.015625,13.80271668,4.636768361,444.8,0,4.86,0.022531321,4.23E-01,3.29E-02,2.25E+00,4.23E+01,3.29E+00
