Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Group,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[ug],Biomass_[mg_WetWeight_m-3],Resp ulO2/m3/day,Excret ugN/m3/day,Biomass mgWW/m2,Resp ulO2/m2/day,Excret ugN/m2/day
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,254648,SMCAL,Aetideus pacificus,C6 AF,1,0.0625,191,0.083769634,1356.7,0,243.52,2.04E-02,1.01E-01,8.90E-03,2.04E+00,1.01E+01,8.90E-01
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,104115,SMCAL,Bradyidius,C5,2,0.0625,191,0.167539267,1768.3,24.3,617.85,1.04E-01,4.01E-01,3.65E-02,1.04E+01,4.01E+01,3.65E+00
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,104290,MDCAL,Chiridius gracilis,C4,1,0.0625,191,0.083769634,1280.9,0,203.15,1.70E-02,8.75E-02,7.70E-03,1.70E+00,8.75E+00,7.70E-01
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,104290,MDCAL,Chiridius gracilis,C5,1,0.0625,191,0.083769634,1575.9,0,390.54,3.27E-02,1.44E-01,1.30E-02,3.27E+00,1.44E+01,1.30E+00
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,346494,MDCAL,Gaetanus simplex,C6 AF,1,0.25,191,0.020942408,2598.5,0,1753.45,3.67E-02,1.14E-01,1.07E-02,3.67E+00,1.14E+01,1.07E+00
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,104079,LGCAL,Calanidae,C6 AF,2,0.0625,191,0.167539267,1533.3,9.8,246.16,4.12E-02,2.02E-01,1.79E-02,4.12E+00,2.02E+01,1.79E+00
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C4,45,0.0078125,191,30.15706806,2002.7,7.1,541.34,1.63E+01,6.65E+01,6.03E+00,1.63E+03,6.65E+03,6.03E+02
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C5,29,0.0078125,191,19.43455497,2604.7,5.5,1227.34,2.39E+01,8.03E+01,7.46E+00,2.39E+03,8.03E+03,7.46E+02
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C6 AF,7,0.0078125,191,4.691099476,3011.6,3.9,1924.19,9.03E+00,2.74E+01,2.58E+00,9.03E+02,2.74E+03,2.58E+02
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C6 AM,1,0.0078125,191,0.670157068,2810.9,0,1543.15,1.03E+00,3.31E+00,3.10E-01,1.03E+02,3.31E+02,3.10E+01
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,104470,LGCAL,Neocalanus cristatus,C3,4,0.0625,191,0.335078534,2712.9,7.5,1187.63,3.98E-01,1.35E+00,1.25E-01,3.98E+01,1.35E+02,1.25E+01
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,104470,LGCAL,Neocalanus cristatus,C4,14,0.0625,191,1.172774869,4236,9.4,4397.33,5.16E+00,1.28E+01,1.24E+00,5.16E+02,1.28E+03,1.24E+02
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,104470,LGCAL,Neocalanus cristatus,C5,16,0.0625,191,1.340314136,6196.4,3.5,13078.06,1.75E+01,3.40E+01,3.39E+00,1.75E+03,3.40E+03,3.39E+02
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,104470,LGCAL,Neocalanus cristatus,C6 AF,1,0.0625,191,0.083769634,6723.7,0,16541.48,1.39E+00,2.55E+00,2.56E-01,1.39E+02,2.55E+02,2.56E+01
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,196772,LGCAL,Neocalanus plumchrus,C3,4,0.015625,191,1.340314136,1525.4,6.2,206.57,2.77E-01,1.41E+00,1.25E-01,2.77E+01,1.41E+02,1.25E+01
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,196772,LGCAL,Neocalanus plumchrus,C4,9,0.015625,191,3.015706806,2595.7,9.1,1036.79,3.13E+00,1.09E+01,1.01E+00,3.13E+02,1.09E+03,1.01E+02
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,196772,LGCAL,Neocalanus plumchrus,C5,73,0.015625,191,24.46073298,3422,7.7,2372.46,5.80E+01,1.67E+02,1.58E+01,5.80E+03,1.67E+04,1.58E+03
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,196772,LGCAL,Neocalanus plumchrus,C6 AM,6,0.015625,191,2.010471204,3027.3,5.5,1624.65,3.27E+00,1.03E+01,9.66E-01,3.27E+02,1.03E+03,9.66E+01
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,196774,SMCAL,Centropages abdominalis,C6 AF,1,0.0625,191,0.083769634,1341.6,0,273.86,2.29E-02,1.10E-01,9.77E-03,2.29E+00,1.10E+01,9.77E-01
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,196775,LGCAL,Eucalanus bungii,C3,40,0.03125,191,6.701570681,2696.9,9,472.45,3.17E+00,1.33E+01,1.20E+00,3.17E+02,1.33E+03,1.20E+02
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,196775,LGCAL,Eucalanus bungii,C4,9,0.03125,191,1.507853403,3794.8,4.9,1345.78,2.03E+00,6.69E+00,6.24E-01,2.03E+02,6.69E+02,6.24E+01
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,196775,LGCAL,Eucalanus bungii,C6 AF,1,0.03125,191,0.167539267,6085.9,0,5815.96,9.74E-01,2.29E+00,2.23E-01,9.74E+01,2.29E+02,2.23E+01
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,196775,LGCAL,Eucalanus bungii,C6 AM,1,0.03125,191,0.167539267,4426.9,0,2159.03,3.62E-01,1.07E+00,1.01E-01,3.62E+01,1.07E+02,1.01E+01
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,196779,LGCAL,Paraeuchaeta elongata,C4,2,0.25,191,0.041884817,2476.2,7.7,1143.68,4.79E-02,1.64E-01,1.52E-02,4.79E+00,1.64E+01,1.52E+00
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,196779,LGCAL,Paraeuchaeta elongata,C5,2,0.25,191,0.041884817,3576.8,5.1,3747.22,1.57E-01,4.08E-01,3.92E-02,1.57E+01,4.08E+01,3.92E+00
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,196779,LGCAL,Paraeuchaeta elongata,C6 AM,2,0.25,191,0.041884817,4072.8,5,5708.26,2.39E-01,5.63E-01,5.47E-02,2.39E+01,5.63E+01,5.47E+00
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,196783,MDCAL,Metridia okhotensis,C4,5,0.015625,191,1.67539267,1325.6,3,231.91,3.89E-01,1.94E+00,1.71E-01,3.89E+01,1.94E+02,1.71E+01
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,196783,MDCAL,Metridia okhotensis,C5,5,0.015625,191,1.67539267,1753.2,17.3,597.68,1.00E+00,3.92E+00,3.57E-01,1.00E+02,3.92E+02,3.57E+01
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,196783,MDCAL,Metridia okhotensis,C6 AF,2,0.015625,191,0.670157068,2209.5,19,1207.53,8.09E-01,2.70E+00,2.51E-01,8.09E+01,2.70E+02,2.51E+01
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,1,200,100,196783,MDCAL,Metridia okhotensis,C6 AM,1,0.015625,191,0.335078534,1920.5,0,735.67,2.47E-01,9.38E-01,8.58E-02,2.47E+01,9.38E+01,8.58E+00
