Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Group,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[ug],Biomass_[mg_WetWeight_m-3],Resp ulO2/m3/day,Excret ugN/m3/day,Biomass mgWW/m2,Resp ulO2/m2/day,Excret ugN/m2/day
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,104075,MDCAL,Aetideidae,C3,1,0.125,147.6,0.054200542,1057.6,0,111.05,6.02E-03,3.83E-02,3.30E-03,6.02E-01,3.83E+00,3.30E-01
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,104275,SMCAL,Aetideus armatus,C6 AF,1,0.125,147.6,0.054200542,1419.2,0,280.73,1.52E-02,7.79E-02,6.90E-03,1.52E+00,7.79E+00,6.90E-01
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,104290,MDCAL,Chiridius gracilis,C4,1,0.25,147.6,0.027100271,1283.8,0,204.61,5.55E-03,3.06E-02,2.68E-03,5.55E-01,3.06E+00,2.68E-01
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,104290,MDCAL,Chiridius gracilis,C5,1,0.25,147.6,0.027100271,1610,0,417.81,1.13E-02,5.28E-02,4.73E-03,1.13E+00,5.28E+00,4.73E-01
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,346494,MDCAL,Gaetanus simplex,C6 AF,1,0.25,147.6,0.027100271,2403.7,0,1329.31,3.60E-02,1.28E-01,1.19E-02,3.60E+00,1.28E+01,1.19E+00
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C4,8,0.125,147.6,0.433604336,2023.3,6.5,556.75,2.41E-01,1.05E+00,9.49E-02,2.41E+01,1.05E+02,9.49E+00
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C5,30,0.125,147.6,1.62601626,2263.3,6,791.09,1.29E+00,5.15E+00,4.71E-01,1.29E+02,5.15E+02,4.71E+01
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C6 AF,2,0.125,147.6,0.108401084,2658.2,6.4,1303.93,1.41E-01,5.04E-01,4.68E-02,1.41E+01,5.04E+01,4.68E+00
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,196770,LGCAL,Calanus marshallae,C6 AM,20,0.125,147.6,1.08401084,2497.6,4,1070.43,1.16E+00,4.34E+00,4.00E-01,1.16E+02,4.34E+02,4.00E+01
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,104470,LGCAL,Neocalanus cristatus,C3,2,0.25,147.6,0.054200542,2735.8,3.8,1205.19,6.53E-02,2.38E-01,2.20E-02,6.53E+00,2.38E+01,2.20E+00
