studyName,cruise,cycle,"size_fraction (mm)",day_night,"biomass_mean (mg/m³)","biomass_std (mg/m³)",biomass_n,"biomass_95cl (mg/m³)","int_biomass_mean (mg/m²)","int_biomass_std (mg/m²)",int_biomass_n,"int_biomass_95cl (mg/m²)",chl_phaeo_mean,chl_phaeo_std,chl_phaeo_n,chl_phaeo_95cl,int_chl_phaeo_mean,int_chl_phaeo_std,int_chl_phaeo_n,int_chl_phaeo_95cl,grazing_rate_mean,grazing_rate_std,grazing_rate_n,grazing_rate_95cl,"int_grazing_rate_mean (µg/m²/day)","int_grazing_rate_std (µg/m²/day)",int_grazing_rate_n,"int_grazing_rate_95cl (µg/m²/day)","int_grazing_rate_mg_mean (mg/m²/day)","int_grazing_rate_mg_std (mg/m²/day)",int_grazing_rate_mg_n,"int_grazing_rate_mg_95cl (mg/m²/day)","mass_specific_grazing_mean (ug/mg)","mass_specific_grazing_std (ug/mg)",mass_specific_grazing_n,"mass_specific_grazing_95cl (ug/mg)",mass_specific_grazing_rate_mean,mass_specific_grazing_rate_std,mass_specific_grazing_rate_n,mass_specific_grazing_rate_95cl
P0605KN,P0605,1,5,Day,1.41176,1.34006,4,2.13233,299.862,285.458,4,454.227,0.0194034,0.0139009,4,0.0221194,4.11206,2.93626,4,4.67224,0.0366099,0.0262279,4,0.0417344,186.205,132.962,4,211.572,0.186205,0.132962,4,0.211572,0.0319604,0.0403761,4,0.0642475,1.44725,1.82834,4,2.9093
P0605KN,P0605,1,2,Day,2.98628,1.8418,4,2.93071,636.188,395.221,4,628.884,0.0743721,0.0567526,4,0.090306,15.8433,12.1463,4,19.3275,0.140324,0.10708,4,0.170388,717.429,550.018,4,875.202,0.717429,0.550018,4,0.875202,0.0244461,0.00555399,4,0.00883764,1.10698,0.2515,4,0.400192
P0605KN,P0605,1,1,Day,6.75085,7.7841,4,12.3862,1424.55,1630.87,4,2595.08,0.507391,0.522985,4,0.832186,107.555,111.013,4,176.647,0.957336,0.986758,4,1.57015,4870.39,5026.97,4,7999.04,4.87039,5.02697,4,7.99904,0.127779,0.127744,4,0.203269,5.78617,5.78458,4,9.20456
P0605KN,P0605,1,0.5,Day,3.23245,1.27091,4,2.02231,685.232,263.14,4,418.715,0.519109,0.419201,4,0.667042,109.83,88.3715,4,140.619,0.979444,0.79094,4,1.25856,4973.41,4001.7,4,6367.6,4.97341,4.0017,4,6.3676,0.157437,0.122701,4,0.195244,7.1292,5.55623,4,8.8412
P0605KN,P0605,1,0.2,Day,3.23244,0.971261,4,1.54549,685.628,199.96,4,318.181,1.26291,1.06106,4,1.68839,267.794,225.267,4,358.451,2.38283,2.00199,4,3.18562,12126.4,10200.7,4,16231.6,12.1264,10.2007,4,16.2316,0.428045,0.419756,4,0.667926,19.3831,19.0077,4,30.2455
P0605KN,P0605,1,Total,Day,17.6138,9.23857,4,14.7006,3731.46,1920.75,4,3056.34,2.38318,1.90239,4,3.02712,505.135,403.362,4,641.839,4.49654,3.58938,4,5.71151,22873.9,18265.3,4,29064.2,22.8739,18.2653,4,29.0642,0.16503,0.182585,4,0.290534,7.473,8.26797,4,13.1562
P0605KN,P0605,1,5,Night,2.35316,2.58665,4,4.11594,499.087,548.144,4,872.22,0.00852318,0.00600885,4,0.00956142,1.79762,1.25464,4,1.99641,0.0160814,0.0113374,4,0.0180403,81.4012,56.8136,4,90.4031,0.0814012,0.0568136,4,0.0904031,0.0175031,0.0196538,4,0.0312736,0.792587,0.889979,4,1.41616
P0605KN,P0605,1,2,Night,4.49578,3.847,4,6.12144,949.922,809.177,4,1287.58,0.0870416,0.0158734,4,0.0252581,18.433,3.41435,4,5.433,0.164228,0.0299496,4,0.0476565,834.696,154.611,4,246.021,0.834696,0.154611,4,0.246021,0.0909147,0.142568,4,0.226858,4.11686,6.45587,4,10.2727
P0605KN,P0605,1,1,Night,4.39162,2.95327,4,4.69931,929.57,626.59,4,997.045,0.402926,0.197245,4,0.313861,85.4177,42.1876,4,67.1299,0.760233,0.372159,4,0.592188,3867.95,1910.37,4,3039.83,3.86795,1.91037,4,3.03983,0.106937,0.0488123,4,0.0776713,4.8424,2.21035,4,3.51717
P0605KN,P0605,1,0.5,Night,4.30818,0.873053,4,1.38922,912.008,185.387,4,294.991,0.549285,0.63258,4,1.00658,116.888,135.304,4,215.3,1.03638,1.19354,4,1.89919,5293,6126.95,4,9749.35,5.29299,6.12695,4,9.74935,0.118082,0.11807,4,0.187876,5.34707,5.34655,4,8.50756
P0605KN,P0605,1,0.2,Night,2.37102,0.829914,4,1.32058,502.274,176.015,4,280.079,0.244571,0.152617,4,0.242848,51.9957,32.4944,4,51.7059,0.461452,0.287956,4,0.458202,2354.51,1471.44,4,2341.38,2.35451,1.47144,4,2.34138,0.0991787,0.0650589,4,0.103523,4.49108,2.94604,4,4.68781
P0605KN,P0605,1,Total,Night,17.9197,6.77599,4,10.7821,3792.86,1439.64,4,2290.78,1.29235,0.872509,4,1.38836,274.532,187.335,4,298.092,2.43837,1.64623,4,2.61952,12431.5,8483.04,4,13498.4,12.4316,8.48304,4,13.4984,0.0732916,0.0340188,4,0.0541315,3.31884,1.54047,4,2.45122
P0605KN,P0605,1,5,"D-N average",1.88246,1.97238,8,1.64895,399.475,418.369,8,349.765,0.0139633,0.011494,8,0.00960919,3.3497,2.429,8,2.0307,0.0263456,0.0216866,8,0.0181304,133.803,109.992,8,91.9556,0.133803,0.109992,8,0.0919556,0.0247317,0.0303963,8,0.0254119,1.11992,1.37643,8,1.15072
P0605KN,P0605,1,2,"D-N average",3.74103,2.90645,8,2.42985,793.055,612.927,8,512.42,0.0807068,0.039169,8,0.0327461,19.0142,8.37501,8,7.00168,0.152276,0.0739034,8,0.0617848,776.063,379.243,8,317.055,0.776063,0.379243,8,0.317055,0.0576804,0.0999326,8,0.0835458,2.61192,4.52522,8,3.78318
P0605KN,P0605,1,1,"D-N average",5.57123,5.59431,8,4.67696,1177.06,1173.95,8,981.443,0.455159,0.370151,8,0.309454,77.3624,78.6413,8,65.7458,0.858784,0.698394,8,0.583872,4369.17,3561.09,8,2977.15,4.36917,3.56109,8,2.97715,0.117358,0.0902156,8,0.0754221,5.31429,4.08521,8,3.41532
