Site,Species_Code,Species,Date,Year,Month,Day,Flagged_Count,Percent_Flagged_Count,Num_Count,Min_Count,Max_Count,Total_Count,Median_Count
1,G0,Other grasshoppers,8/26/00,2000,8,26,0,0,10,0,0,0,0
1,G1,Orchelimum spp.,8/26/00,2000,8,26,0,0,10,0,2,3,0
1,G2,Paroxya clavuliger,8/26/00,2000,8,26,0,0,10,0,3,11,1
1,G3,Orphulella pelidna,8/26/00,2000,8,26,0,0,10,0,0,0,0
1,G4,Mermiria intertexta,8/26/00,2000,8,26,0,0,10,0,0,0,0
1,G5,Schistocerca obscura,8/26/00,2000,8,26,0,0,10,0,0,0,0
1,G6,Romalea guttatus,8/26/00,2000,8,26,0,0,10,0,0,0,0
1,G0,Other grasshoppers,8/21/01,2001,8,21,0,0,10,0,0,0,0
1,G1,Orchelimum spp.,8/21/01,2001,8,21,0,0,10,0,1,1,0
1,G2,Paroxya clavuliger,8/21/01,2001,8,21,0,0,10,0,3,14,1
1,G3,Orphulella pelidna,8/21/01,2001,8,21,0,0,10,0,0,0,0
1,G4,Mermiria intertexta,8/21/01,2001,8,21,0,0,10,0,0,0,0
1,G5,Schistocerca obscura,8/21/01,2001,8,21,0,0,10,0,0,0,0
1,G6,Romalea guttatus,8/21/01,2001,8,21,0,0,10,0,0,0,0
1,G0,Other grasshoppers,8/8/02,2002,8,8,0,0,10,0,0,0,0
1,G1,Orchelimum spp.,8/8/02,2002,8,8,0,0,10,0,8,19,1
1,G2,Paroxya clavuliger,8/8/02,2002,8,8,0,0,10,0,10,28,2
1,G3,Orphulella pelidna,8/8/02,2002,8,8,0,0,10,0,1,2,0
1,G4,Mermiria intertexta,8/8/02,2002,8,8,0,0,10,0,0,0,0
1,G5,Schistocerca obscura,8/8/02,2002,8,8,0,0,10,0,0,0,0
1,G6,Romalea guttatus,8/8/02,2002,8,8,0,0,10,0,0,0,0
1,G0,Other grasshoppers,8/15/03,2003,8,15,0,0,8,0,0,0,0
1,G1,Orchelimum spp.,8/15/03,2003,8,15,0,0,8,0,3,6,0
1,G2,Paroxya clavuliger,8/15/03,2003,8,15,0,0,8,1,6,24,3
1,G3,Orphulella pelidna,8/15/03,2003,8,15,0,0,8,0,1,1,0
1,G4,Mermiria intertexta,8/15/03,2003,8,15,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,8/15/03,2003,8,15,0,0,8,0,0,0,0
1,G6,Romalea guttatus,8/15/03,2003,8,15,0,0,8,0,0,0,0
1,G0,Other grasshoppers,8/17/04,2004,8,17,0,0,8,0,0,0,0
1,G1,Orchelimum spp.,8/17/04,2004,8,17,0,0,8,0,1,1,0
1,G2,Paroxya clavuliger,8/17/04,2004,8,17,0,0,8,0,5,15,2
1,G3,Orphulella pelidna,8/17/04,2004,8,17,0,0,8,0,0,0,0
1,G4,Mermiria intertexta,8/17/04,2004,8,17,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,8/17/04,2004,8,17,0,0,8,0,0,0,0
1,G6,Romalea guttatus,8/17/04,2004,8,17,0,0,8,0,0,0,0
1,G0,Other grasshoppers,8/15/05,2005,8,15,0,0,8,0,6,6,0
1,G1,Orchelimum spp.,8/15/05,2005,8,15,0,0,8,0,0,0,0
1,G2,Paroxya clavuliger,8/15/05,2005,8,15,0,0,8,0,3,14,2
1,G3,Orphulella pelidna,8/15/05,2005,8,15,0,0,8,0,0,0,0
1,G4,Mermiria intertexta,8/15/05,2005,8,15,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,8/15/05,2005,8,15,0,0,8,0,0,0,0
1,G6,Romalea guttatus,8/15/05,2005,8,15,0,0,8,0,0,0,0
1,G0,Other grasshoppers,8/3/06,2006,8,3,0,0,8,0,1,1,0
1,G1,Orchelimum spp.,8/3/06,2006,8,3,0,0,8,0,0,0,0
1,G2,Paroxya clavuliger,8/3/06,2006,8,3,0,0,8,0,1,4,1
1,G3,Orphulella pelidna,8/3/06,2006,8,3,0,0,8,0,0,0,0
1,G4,Mermiria intertexta,8/3/06,2006,8,3,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,8/3/06,2006,8,3,0,0,8,0,0,0,0
1,G6,Romalea guttatus,8/3/06,2006,8,3,0,0,8,0,0,0,0
1,G0,Other grasshoppers,7/30/07,2007,7,30,0,0,8,0,1,1,0
1,G1,Orchelimum spp.,7/30/07,2007,7,30,0,0,8,0,0,0,0
1,G2,Paroxya clavuliger,7/30/07,2007,7,30,0,0,8,0,1,2,0
1,G3,Orphulella pelidna,7/30/07,2007,7,30,0,0,8,0,0,0,0
1,G4,Mermiria intertexta,7/30/07,2007,7,30,0,0,8,0,0,0,0
1,G5,Schistocerca obscura,7/30/07,2007,7,30,0,0,8,0,0,0,0
1,G6,Romalea guttatus,7/30/07,2007,7,30,0,0,8,0,0,0,0
1,G0,Other grasshoppers,8/12/08,2008,8,12,0,0,8,0,1,1,0
