Date,Year,Site_Name,Site,Zone,Plot,Location,Flag_Location,Location_Notes,Longitude,Flag_Longitude,Latitude,Flag_Latitude,Species,Mollusc_Count,Quadrat_Area,Mollusc_Density,Notes
10/30/00,2000,GCE1,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,Littoraria,0,0.25,0,
10/30/00,2000,GCE1,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,Melampus,0,0.25,0,
10/30/00,2000,GCE1,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,Detracia,0,0.25,0,
10/30/00,2000,GCE1,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,Hydrobiidae,0,0.25,0,
10/30/00,2000,GCE1,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,Ilyanassa,0,0.25,0,
10/30/00,2000,GCE1,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,Geukensia,1,0.25,4,
10/30/00,2000,GCE1,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,Polymesoda,0,0.25,0,
10/30/00,2000,GCE1,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,Crassostrea,0,0.25,0,
10/30/00,2000,GCE1,1,1,3,GCE1_CB13,E,location estimated based on location of a single replacement plot within approximately 3m,-81.422441,E,31.538468,E,Littoraria,0,0.25,0,
10/30/00,2000,GCE1,1,1,3,GCE1_CB13,E,location estimated based on location of a single replacement plot within approximately 3m,-81.422441,E,31.538468,E,Melampus,0,0.25,0,
10/30/00,2000,GCE1,1,1,3,GCE1_CB13,E,location estimated based on location of a single replacement plot within approximately 3m,-81.422441,E,31.538468,E,Detracia,0,0.25,0,
10/30/00,2000,GCE1,1,1,3,GCE1_CB13,E,location estimated based on location of a single replacement plot within approximately 3m,-81.422441,E,31.538468,E,Hydrobiidae,0,0.25,0,
10/30/00,2000,GCE1,1,1,3,GCE1_CB13,E,location estimated based on location of a single replacement plot within approximately 3m,-81.422441,E,31.538468,E,Ilyanassa,0,0.25,0,
10/30/00,2000,GCE1,1,1,3,GCE1_CB13,E,location estimated based on location of a single replacement plot within approximately 3m,-81.422441,E,31.538468,E,Geukensia,0,0.25,0,
10/30/00,2000,GCE1,1,1,3,GCE1_CB13,E,location estimated based on location of a single replacement plot within approximately 3m,-81.422441,E,31.538468,E,Polymesoda,0,0.25,0,
10/30/00,2000,GCE1,1,1,3,GCE1_CB13,E,location estimated based on location of a single replacement plot within approximately 3m,-81.422441,E,31.538468,E,Crassostrea,0,0.25,0,
10/30/00,2000,GCE1,1,1,6,GCE1_CB36,E,location estimated based on locations of 3 replacement plots within approximately 9m,-81.422287,E,31.538494,E,Littoraria,0,0.25,0,
10/30/00,2000,GCE1,1,1,6,GCE1_CB36,E,location estimated based on locations of 3 replacement plots within approximately 9m,-81.422287,E,31.538494,E,Melampus,0,0.25,0,
10/30/00,2000,GCE1,1,1,6,GCE1_CB36,E,location estimated based on locations of 3 replacement plots within approximately 9m,-81.422287,E,31.538494,E,Detracia,0,0.25,0,
10/30/00,2000,GCE1,1,1,6,GCE1_CB36,E,location estimated based on locations of 3 replacement plots within approximately 9m,-81.422287,E,31.538494,E,Hydrobiidae,0,0.25,0,
10/30/00,2000,GCE1,1,1,6,GCE1_CB36,E,location estimated based on locations of 3 replacement plots within approximately 9m,-81.422287,E,31.538494,E,Ilyanassa,0,0.25,0,
10/30/00,2000,GCE1,1,1,6,GCE1_CB36,E,location estimated based on locations of 3 replacement plots within approximately 9m,-81.422287,E,31.538494,E,Geukensia,0,0.25,0,
10/30/00,2000,GCE1,1,1,6,GCE1_CB36,E,location estimated based on locations of 3 replacement plots within approximately 9m,-81.422287,E,31.538494,E,Polymesoda,0,0.25,0,
10/30/00,2000,GCE1,1,1,6,GCE1_CB36,E,location estimated based on locations of 3 replacement plots within approximately 9m,-81.422287,E,31.538494,E,Crassostrea,0,0.25,0,
10/30/00,2000,GCE1,1,1,8,GCE1_CB8,,,-81.422205,,31.538615,,Littoraria,4,0.25,16,
10/30/00,2000,GCE1,1,1,8,GCE1_CB8,,,-81.422205,,31.538615,,Melampus,1,0.25,4,
10/30/00,2000,GCE1,1,1,8,GCE1_CB8,,,-81.422205,,31.538615,,Detracia,0,0.25,0,
10/30/00,2000,GCE1,1,1,8,GCE1_CB8,,,-81.422205,,31.538615,,Hydrobiidae,0,0.25,0,
10/30/00,2000,GCE1,1,1,8,GCE1_CB8,,,-81.422205,,31.538615,,Ilyanassa,0,0.25,0,
10/30/00,2000,GCE1,1,1,8,GCE1_CB8,,,-81.422205,,31.538615,,Geukensia,0,0.25,0,
10/30/00,2000,GCE1,1,1,8,GCE1_CB8,,,-81.422205,,31.538615,,Polymesoda,0,0.25,0,
10/30/00,2000,GCE1,1,1,8,GCE1_CB8,,,-81.422205,,31.538615,,Crassostrea,0,0.25,0,
10/30/00,2000,GCE1,1,2,1,GCE1_MM1,,,-81.422821,,31.539402,,Littoraria,0,0.25,0,
10/30/00,2000,GCE1,1,2,1,GCE1_MM1,,,-81.422821,,31.539402,,Melampus,8,0.25,32,
10/30/00,2000,GCE1,1,2,1,GCE1_MM1,,,-81.422821,,31.539402,,Detracia,0,0.25,0,
10/30/00,2000,GCE1,1,2,1,GCE1_MM1,,,-81.422821,,31.539402,,Hydrobiidae,0,0.25,0,
10/30/00,2000,GCE1,1,2,1,GCE1_MM1,,,-81.422821,,31.539402,,Ilyanassa,0,0.25,0,
10/30/00,2000,GCE1,1,2,1,GCE1_MM1,,,-81.422821,,31.539402,,Geukensia,0,0.25,0,
10/30/00,2000,GCE1,1,2,1,GCE1_MM1,,,-81.422821,,31.539402,,Polymesoda,0,0.25,0,
10/30/00,2000,GCE1,1,2,1,GCE1_MM1,,,-81.422821,,31.539402,,Crassostrea,0,0.25,0,
10/30/00,2000,GCE1,1,2,3,GCE1_MM3,,,-81.422546,,31.539415,,Littoraria,0,0.25,0,
10/30/00,2000,GCE1,1,2,3,GCE1_MM3,,,-81.422546,,31.539415,,Melampus,0,0.25,0,
10/30/00,2000,GCE1,1,2,3,GCE1_MM3,,,-81.422546,,31.539415,,Detracia,0,0.25,0,
10/30/00,2000,GCE1,1,2,3,GCE1_MM3,,,-81.422546,,31.539415,,Hydrobiidae,0,0.25,0,
10/30/00,2000,GCE1,1,2,3,GCE1_MM3,,,-81.422546,,31.539415,,Ilyanassa,0,0.25,0,
10/30/00,2000,GCE1,1,2,3,GCE1_MM3,,,-81.422546,,31.539415,,Geukensia,1,0.25,4,
10/30/00,2000,GCE1,1,2,3,GCE1_MM3,,,-81.422546,,31.539415,,Polymesoda,0,0.25,0,
10/30/00,2000,GCE1,1,2,3,GCE1_MM3,,,-81.422546,,31.539415,,Crassostrea,0,0.25,0,
10/30/00,2000,GCE1,1,2,6,GCE1_MM6,,,-81.422098,,31.53948,,Littoraria,0,0.25,0,
10/30/00,2000,GCE1,1,2,6,GCE1_MM6,,,-81.422098,,31.53948,,Melampus,0,0.25,0,
10/30/00,2000,GCE1,1,2,6,GCE1_MM6,,,-81.422098,,31.53948,,Detracia,0,0.25,0,
10/30/00,2000,GCE1,1,2,6,GCE1_MM6,,,-81.422098,,31.53948,,Hydrobiidae,0,0.25,0,
10/30/00,2000,GCE1,1,2,6,GCE1_MM6,,,-81.422098,,31.53948,,Ilyanassa,0,0.25,0,
10/30/00,2000,GCE1,1,2,6,GCE1_MM6,,,-81.422098,,31.53948,,Geukensia,0,0.25,0,
10/30/00,2000,GCE1,1,2,6,GCE1_MM6,,,-81.422098,,31.53948,,Polymesoda,0,0.25,0,
10/30/00,2000,GCE1,1,2,6,GCE1_MM6,,,-81.422098,,31.53948,,Crassostrea,0,0.25,0,
10/30/00,2000,GCE1,1,2,8,GCE1_MM8,,,-81.42175,,31.539491,,Littoraria,0,0.25,0,
10/30/00,2000,GCE1,1,2,8,GCE1_MM8,,,-81.42175,,31.539491,,Melampus,0,0.25,0,
10/30/00,2000,GCE1,1,2,8,GCE1_MM8,,,-81.42175,,31.539491,,Detracia,0,0.25,0,
10/30/00,2000,GCE1,1,2,8,GCE1_MM8,,,-81.42175,,31.539491,,Hydrobiidae,0,0.25,0,
10/30/00,2000,GCE1,1,2,8,GCE1_MM8,,,-81.42175,,31.539491,,Ilyanassa,0,0.25,0,
10/30/00,2000,GCE1,1,2,8,GCE1_MM8,,,-81.42175,,31.539491,,Geukensia,2,0.25,8,
10/30/00,2000,GCE1,1,2,8,GCE1_MM8,,,-81.42175,,31.539491,,Polymesoda,1,0.25,4,
10/30/00,2000,GCE1,1,2,8,GCE1_MM8,,,-81.42175,,31.539491,,Crassostrea,0,0.25,0,
10/26/00,2000,GCE2,2,1,1,GCE2_CB11,E,location estimated based on location of a single replacement plot within approximately 3m,-81.296118,E,31.536199,E,Littoraria,3,0.5,6,
10/26/00,2000,GCE2,2,1,1,GCE2_CB11,E,location estimated based on location of a single replacement plot within approximately 3m,-81.296118,E,31.536199,E,Melampus,0,0.5,0,
10/26/00,2000,GCE2,2,1,1,GCE2_CB11,E,location estimated based on location of a single replacement plot within approximately 3m,-81.296118,E,31.536199,E,Detracia,0,0.5,0,
10/26/00,2000,GCE2,2,1,1,GCE2_CB11,E,location estimated based on location of a single replacement plot within approximately 3m,-81.296118,E,31.536199,E,Hydrobiidae,0,0.5,0,
10/26/00,2000,GCE2,2,1,1,GCE2_CB11,E,location estimated based on location of a single replacement plot within approximately 3m,-81.296118,E,31.536199,E,Ilyanassa,0,0.5,0,
