Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[mg],Biomass_[mg_WetWeight_m-3]
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,1100,Calanoida,Nauplius,20,0.00195313,11.97719,854.9563266,354.1,25.7,5.83,4.988302995
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,1100,Calanoida,Nauplius,5,0.0078125,11.97719,53.43490418,805.9,16.5,50.48,2.697228626
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,104108,Acartia,C1,4,0.015625,11.97719,21.37396167,384.1,2.3,4.28,0.09155836
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,104108,Acartia,C2,1,0.015625,11.97719,5.343490418,437.1,0,6.23,0.033290745
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,104108,Acartia,C3,1,0.015625,11.97719,5.343490418,465.8,0,7.49,0.040038407
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,104257,Acartia longiremis,C6 AF,2,0.015625,11.97719,10.68698084,1034.7,3.8,76.36,0.816030957
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,104257,Acartia longiremis,C6 AM,3,0.015625,11.97719,16.03047125,835.7,3.2,41.05,0.658007803
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,196770,Calanus marshallae,C1,19,0.00195313,11.97719,812.2085103,771,4.9,26.86,21.81921183
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,196770,Calanus marshallae,C2,14,0.00195313,11.97719,598.4694286,1096.4,5.7,81.29,48.65064101
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,196770,Calanus marshallae,C3,15,0.00195313,11.97719,641.2172449,1526.3,6.4,230.05,147.5096894
