"Year","Month","Month_MM","Day","Site","Transect","Recorded_name","Count","Lifestage","Wet_Weight","Notes","Genus","Species","Family","Order","Class","Phylum","Kingdom"
2011,8,"August ",15,"Carpinteria City","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2011,8,"August ",15,"Carpinteria City","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2011,8,"August ",15,"Carpinteria City","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2011,8,"August ",15,"Santa Claus Lane","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2011,8,"August ",15,"Santa Claus Lane","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2011,8,"August ",15,"Santa Claus Lane","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2011,8,"August ",16,"Arroyo Burro","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2011,8,"August ",16,"Arroyo Burro","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2011,8,"August ",16,"Arroyo Burro","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2011,8,"August ",16,"East Campus","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2011,8,"August ",16,"East Campus","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2011,8,"August ",16,"East Campus","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2011,8,"August ",16,"Isla Vista","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2011,8,"August ",16,"Isla Vista","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2011,8,"August ",16,"Isla Vista","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2011,8,"August ",17,"Arroyo Quemado","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2011,8,"August ",17,"Arroyo Quemado","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2011,8,"August ",17,"Arroyo Quemado","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2012,9,"September",15,"Arroyo Quemado","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2012,9,"September",15,"Arroyo Quemado","B","Akephorus marinus",4,-99999,0.0295,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2012,9,"September",15,"Arroyo Quemado","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2012,9,"September",16,"East Campus","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2012,9,"September",16,"East Campus","B","Akephorus marinus",1,-99999,0.0019,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2012,9,"September",16,"East Campus","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2012,9,"September",16,"Isla Vista","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2012,9,"September",16,"Isla Vista","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2012,9,"September",16,"Isla Vista","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2012,9,"September",17,"Arroyo Burro","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2012,9,"September",17,"Arroyo Burro","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2012,9,"September",17,"Arroyo Burro","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2012,9,"September",17,"Santa Claus Lane","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
