Cruise;Station;Type;yyyy-mm-dd;hh:mm;Longitude;Latitude;Bot_depth;ctd_depth;decimal_year;longitude_logged;latitude_logged;ctd_press;ctd_pressure_bin;ctd_temp00;ctd_cond00;ctd_v0;ctd_v1;ctd_v2;ctd_v3;ctd_descent_rate;ctd_xmiss_volts;ctd_xmiss_beamc;ctd_fluor_volts;ctd_upoly_unused;ctd_potential_temp00;ctd_sal00;ctd_sigmatheta00;ctd_specific_volume_anomaly00;ctd_scans_per_bin
LTER-monthly;BI;C;2001-03-08;18:59;-120.3334;34.4589;6;1.378;2001.185729753;99999;99999;1.388;1;13.1548;3.9156;0.991;0.178;99999;99999;0.04;19.095;6.623;1.43;99999;13.1546;33.1437;24.9244;302.0018;23
LTER-monthly;BI;C;2001-03-08;19:00;-120.3334;34.4589;6;1.923;2001.185730602;99999;99999;1.937;2;13.1488;3.9151;1.048;0.179;99999;99999;0.03;20.262;6.386;1.447;99999;13.1485;33.144;24.9259;301.8808;84
LTER-monthly;BI;C;2001-03-08;19:00;-120.3334;34.4589;6;2.996;2001.185731775;99999;99999;3.017;3;13.1045;3.9143;1.193;0.172;99999;99999;0.03;23.234;5.856;1.33;99999;13.1041;33.1749;24.9586;298.7945;64
LTER-monthly;BI;C;2001-03-08;19:01;-120.3334;34.4589;6;3.895;2001.185732766;99999;99999;3.923;4;13.1053;3.9165;1.121;0.169;99999;99999;0.03;21.748;6.149;1.275;99999;13.1048;33.1948;24.9739;297.3645;61
LTER-monthly;BI;C;2001-03-08;19:01;-120.3334;34.4589;6;4.984;2001.185733535;99999;99999;5.02;5;13.1074;3.9178;0.781;0.171;99999;99999;0.06;14.797;7.669;1.308;99999;13.1067;33.2047;24.9812;296.6989;36
LTER-monthly;BI;C;2001-03-08;19:01;-120.3334;34.4589;6;6.017;2001.18573424;99999;99999;6.06;6;13.1079;3.9176;0.546;0.177;99999;99999;0.04;10.003;9.282;1.409;99999;13.1071;33.2016;24.9787;296.9629;53
LTER-monthly;BI;C;2001-03-08;19:02;-120.3334;34.4589;6;6.813;2001.185735041;99999;99999;6.862;7;13.1088;3.9155;0.149;0.219;99999;99999;0.03;1.884;19.126;2.116;99999;13.1079;33.1804;24.9621;298.5628;48
LTER-monthly;BI;C;2001-04-04;16:46;-120.3334;34.4589;6;1.217;2001.259450073;99999;99999;1.226;1;11.4587;3.8123;3.122;0.142;99999;99999;0.1;62.673;1.869;0.811;99999;11.4586;33.6611;25.6499;232.9806;11
LTER-monthly;BI;C;2001-04-04;16:47;-120.3334;34.4589;6;1.987;2001.259450303;99999;99999;2.001;2;11.4493;3.8118;3.13;0.142;99999;99999;0.11;62.839;1.858;0.808;99999;11.4491;33.6647;25.6545;232.5642;18
LTER-monthly;BI;C;2001-04-04;16:47;-120.3334;34.4589;6;2.963;2001.25945058;99999;99999;2.984;3;11.4466;3.8119;3.136;0.147;99999;99999;0.12;62.957;1.851;0.894;99999;11.4462;33.6677;25.6574;232.3154;17
LTER-monthly;BI;C;2001-04-04;16:47;-120.3334;34.4589;6;3.935;2001.259450826;99999;99999;3.964;4;11.4422;3.8125;3.084;0.158;99999;99999;0.14;61.895;1.919;1.086;99999;11.4417;33.6774;25.6658;231.5433;14
LTER-monthly;BI;C;2001-04-04;16:47;-120.3334;34.4589;6;4.947;2001.259451056;99999;99999;4.983;5;11.4423;3.8127;2.999;0.18;99999;99999;0.13;60.159;2.033;1.459;99999;11.4417;33.6782;25.6664;231.5095;15
LTER-monthly;BI;C;2001-04-04;16:47;-120.3334;34.4589;6;5.748;2001.259451262;99999;99999;5.789;6;11.4444;3.8129;2.909;0.186;99999;99999;0.11;58.32;2.158;1.565;99999;11.4437;33.678;25.6658;231.5803;11
LTER-monthly;BI;C;2001-05-03;16:54;-120.3334;34.4589;6;1.284;2001.338916881;99999;99999;1.293;1;14.7915;4.1427;3.553;0.195;99999;99999;0.09;71.469;1.344;1.713;99999;14.7913;33.8237;25.1104;284.3076;10
LTER-monthly;BI;C;2001-05-03;16:54;-120.3334;34.4589;6;1.973;2001.338917142;99999;99999;1.987;2;14.7614;4.1398;3.556;0.194;99999;99999;0.08;71.549;1.339;1.704;99999;14.7611;33.8232;25.1164;283.7504;23
