Date,ID,SP_CODE,TAXON_GENUS,TAXON_SPECIES,Mobility,Size_mm,WM_g,SFDM_g,Temp_C,Vol_L,Time_min,Concentration_NH4_ugl,exc_rate_NH4_ugl_min
2018-03-29,AML5C0329,AML,Patiria,miniata,MOBILE,95,32.66,6.83,13,0.5,70,48.03,0.343
2018-03-29,AML7C0329,AML,Patiria,miniata,MOBILE,70,14.27,2.98,13,0.5,70,26.18,0.187
2018-03-29,AML8C0329,AML,Patiria,miniata,MOBILE,75,17.2,3.6,13,0.5,70,31.87,0.228
2018-03-29,AML9C0329,AML,Patiria,miniata,MOBILE,78,19.13,4,13,0.5,70,39.52,0.282
2018-03-29,AML10C0329,AML,Patiria,miniata,MOBILE,62,10.27,2.15,13,0.5,70,25.74,0.184
2018-03-28,AML9B0328,AML,Patiria,miniata,MOBILE,57,8.17,1.71,13,0.5,60,31.53,0.263
2018-03-28,AML10B0328,AML,Patiria,miniata,MOBILE,65,11.67,2.44,13,0.5,60,31.92,0.266
2018-03-28,AML1C0328,AML,Patiria,miniata,MOBILE,80,20.49,4.28,13,0.5,60,37.9,0.316
2018-03-28,AML2C0328,AML,Patiria,miniata,MOBILE,142,97.15,20.3,13,0.5,60,97.3,0.811
2018-03-28,AML4C0328,AML,Patiria,miniata,MOBILE,74,16.59,3.47,13,0.5,60,50.98,0.425
2018-03-28,AML6C0328,AML,Patiria,miniata,MOBILE,62,10.27,2.15,13,0.5,60,33.89,0.282
2018-03-28,AML7C0328,AML,Patiria,miniata,MOBILE,64,11.19,2.34,13,0.5,60,21.78,0.182
2018-03-28,AML8C0328,AML,Patiria,miniata,MOBILE,45,4.3,0.9,13,0.5,60,12.74,0.106
2018-03-28,AML9C0328,AML,Patiria,miniata,MOBILE,60,9.39,1.96,13,0.5,60,26.77,0.223
2018-03-28,AML10C0328,AML,Patiria,miniata,MOBILE,34,2.01,0.42,13,0.5,60,9.06,0.076
2017-11-09,ANSP5B1109,ANSP,Anthopleura,spp.,SESSILE,11,4.92,0.93,17.3,0.71,73,0.43,0.004
2017-11-09,ANSP7B1109,ANSP,Anthopleura,spp.,SESSILE,13,5.85,1.11,17.3,0.71,70,0.54,0.005
2017-11-09,ANSP6B1109,ANSP,Anthopleura,spp.,SESSILE,70,33.67,6.36,17.3,0.71,68,1.98,0.021
2017-11-09,ANSP8B1109,ANSP,Anthopleura,spp.,SESSILE,23,10.59,2,17.3,0.71,68,1.95,0.02
2017-11-09,ANSP5A1109,ANSP,Anthopleura,spp.,SESSILE,90,43.73,8.26,17.3,0.71,64,4.86,0.054
2017-08-17,ANSP40817,ANSP,Anthopleura,spp.,SESSILE,32,14.92,2.82,18,0.2,118,7.669,0.013
2017-08-17,ANSP100817,ANSP,Anthopleura,spp.,SESSILE,11,4.92,0.93,18,0.2,113,3.106,0.005
2017-08-17,ANSP10817,ANSP,Anthopleura,spp.,SESSILE,62,29.68,5.61,18,0.2,112,10.309,0.018
2017-08-17,ANSP50817,ANSP,Anthopleura,spp.,SESSILE,22,10.11,1.91,18,0.2,112,5.136,0.009
2017-08-17,ANSP60817,ANSP,Anthopleura,spp.,SESSILE,22,10.11,1.91,18,0.2,112,6.88,0.012
2017-08-17,ANSP70817,ANSP,Anthopleura,spp.,SESSILE,17,7.73,1.46,18,0.2,112,3.705,0.007
2017-08-17,ANSP80817,ANSP,Anthopleura,spp.,SESSILE,12,5.38,1.02,18,0.2,112,2.271,0.004
2017-08-17,ANSP20817,ANSP,Anthopleura,spp.,SESSILE,13,5.85,1.11,18,0.2,111,4.313,0.008
2017-08-17,ANSP30817,ANSP,Anthopleura,spp.,SESSILE,44,20.78,3.93,18,0.2,111,8.048,0.015
2017-08-17,ANSP90817,ANSP,Anthopleura,spp.,SESSILE,21,9.63,1.82,18,0.2,111,3.568,0.006
2017-11-09,CHOV11A1109,CHOV,Chaceia,ovoidea,SESSILE,23,164.46,19.41,17.3,0.71,73,3.34,0.032
2017-11-09,CHOV1A1109,CHOV,Chaceia,ovoidea,SESSILE,23,159.02,18.76,17.3,0.71,66,5.5,0.059
2017-11-09,CHOV2A1109,CHOV,Chaceia,ovoidea,SESSILE,24,169.9,20.05,17.3,0.71,66,5.55,0.06
2017-11-09,CHOV7A1109,CHOV,Chaceia,ovoidea,SESSILE,23,164.46,19.41,17.3,0.71,66,8.8,0.095
2017-10-06,CHOV1A1006,CHOV,Chaceia,ovoidea,SESSILE,25,175.35,20.69,17.3,0.71,65,14.9,0.163
2017-10-06,CHOV3A1006,CHOV,Chaceia,ovoidea,SESSILE,29,208.25,24.57,17.3,0.71,65,13.17,0.144
2017-10-06,CHOV4A1006,CHOV,Chaceia,ovoidea,SESSILE,22,153.6,18.12,17.3,0.71,65,2.43,0.027
2017-10-06,CHOV2B1006,CHOV,Chaceia,ovoidea,SESSILE,23,159.02,18.76,17.3,0.71,65,5.15,0.056
2017-10-06,CHOV7B1006,CHOV,Chaceia,ovoidea,SESSILE,35,252.55,29.8,17.3,0.71,65,24.5,0.268
2017-10-06,CHOV10B1006,CHOV,Chaceia,ovoidea,SESSILE,40,291.68,34.42,17.3,0.71,65,35.37,0.386
2017-10-14,CHOV2A1014,CHOV,Chaceia,ovoidea,SESSILE,23,159.02,18.76,17.3,0.71,65,3.25,0.036
2017-10-14,CHOV5A1014,CHOV,Chaceia,ovoidea,SESSILE,22,153.6,18.12,17.3,0.71,65,1.71,0.019
2017-10-14,CHOV6A1014,CHOV,Chaceia,ovoidea,SESSILE,36,263.7,31.12,17.3,0.71,65,21.17,0.231
2017-10-14,CHOV8A1014,CHOV,Chaceia,ovoidea,SESSILE,33,235.88,27.83,17.3,0.71,65,20.88,0.228
2017-10-14,CHOV9A1014,CHOV,Chaceia,ovoidea,SESSILE,23,159.02,18.76,17.3,0.71,65,3.35,0.037
2017-10-14,CHOV2B1014,CHOV,Chaceia,ovoidea,SESSILE,24,169.9,20.05,17.3,0.71,65,12.21,0.133
2017-10-14,CHOV3B1014,CHOV,Chaceia,ovoidea,SESSILE,30,219.28,25.87,17.3,0.71,65,21.11,0.231
2017-10-14,CHOV4B1014,CHOV,Chaceia,ovoidea,SESSILE,33,235.88,27.83,17.3,0.71,65,24.31,0.266
2017-10-14,CHOV6B1014,CHOV,Chaceia,ovoidea,SESSILE,28,197.25,23.28,17.3,0.71,65,21.76,0.238
2017-10-14,CHOV7B1014,CHOV,Chaceia,ovoidea,SESSILE,24,169.9,20.05,17.3,0.71,65,18.53,0.202
2017-10-14,CHOV8B1014,CHOV,Chaceia,ovoidea,SESSILE,26,186.28,21.98,17.3,0.71,65,18.66,0.204
2017-10-14,CHOV9B1014,CHOV,Chaceia,ovoidea,SESSILE,35,252.55,29.8,17.3,0.71,65,18.36,0.201
2017-10-14,CHOV11B1014,CHOV,Chaceia,ovoidea,SESSILE,30,219.28,25.87,17.3,0.71,65,12.93,0.141
2017-10-06,CHOV12A1006,CHOV,Chaceia,ovoidea,SESSILE,24,169.9,20.05,17.3,0.71,64,10.94,0.121
2017-11-09,CHOV8A1109,CHOV,Chaceia,ovoidea,SESSILE,35,252.55,29.8,17.3,0.71,64,30.3,0.336
2017-10-06,CHOV8B1006,CHOV,Chaceia,ovoidea,SESSILE,25,180.81,21.34,17.3,0.71,63,10.48,0.118
2017-10-06,CHOV9B1006,CHOV,Chaceia,ovoidea,SESSILE,30,219.28,25.87,17.3,0.71,63,24.65,0.278
2017-10-06,CHOV3B1006,CHOV,Chaceia,ovoidea,SESSILE,28,197.25,23.28,17.3,0.71,62,17.77,0.204
2017-11-09,CHOV6A1109,CHOV,Chaceia,ovoidea,SESSILE,28,197.25,23.28,17.3,0.71,62,10.28,0.118
2017-09-15,CHOV10915,CHOV,Chaceia,ovoidea,SESSILE,45,331.09,39.07,18,0.71,45,34.71,0.548
2017-09-15,CHOV20915,CHOV,Chaceia,ovoidea,SESSILE,43,314.17,37.07,18,0.71,45,32.65,0.515
2017-11-17,KEKE11117,KEKE,Kelletia,kelletii,MOBILE,136,265.96,19.15,18,2,60,10.925,0.364
2017-11-17,KEKE21117,KEKE,Kelletia,kelletii,MOBILE,148.1,341.46,24.59,18,2,60,15.243,0.508
2017-09-08,KEKE30908,KEKE,Kelletia,kelletii,MOBILE,64.5,29.85,2.15,18,0.12,150,69.567,0.056
2017-09-08,KEKE10908,KEKE,Kelletia,kelletii,MOBILE,40,7.36,0.53,18,0.1,150,33.166,0.022
2017-09-08,KEKE20908,KEKE,Kelletia,kelletii,MOBILE,50.5,14.57,1.05,18,0.1,150,58.209,0.039
2017-09-08,KEKE40908,KEKE,Kelletia,kelletii,MOBILE,49,13.34,0.96,18,0.1,150,46.18,0.031
2017-09-08,KEKE50908,KEKE,Kelletia,kelletii,MOBILE,43,9.09,0.65,18,0.1,150,35.179,0.023
2017-09-08,KEKE60908,KEKE,Kelletia,kelletii,MOBILE,63,27.86,2.01,18,0.1,150,61.938,0.041
2017-09-08,KEKE70908,KEKE,Kelletia,kelletii,MOBILE,49,13.34,0.96,18,0.1,150,35.868,0.024
2017-09-08,KEKE80908,KEKE,Kelletia,kelletii,MOBILE,61,25.35,1.83,18,0.1,150,37.52,0.025
2017-09-08,KEKE100908,KEKE,Kelletia,kelletii,MOBILE,64,29.18,2.1,18,0.1,150,47.631,0.032
2017-09-08,KEKE110908,KEKE,Kelletia,kelletii,MOBILE,69,36.38,2.62,18,0.1,150,68.691,0.046
2017-09-08,KEKE120908,KEKE,Kelletia,kelletii,MOBILE,64,29.18,2.1,18,0.1,150,70.002,0.047
2017-09-08,KEKE130908,KEKE,Kelletia,kelletii,MOBILE,54,17.73,1.28,18,0.1,150,45.734,0.03
2017-09-08,KEKE140908,KEKE,Kelletia,kelletii,MOBILE,52.5,16.33,1.18,18,0.1,150,55.156,0.037
2017-09-08,KEKE150908,KEKE,Kelletia,kelletii,MOBILE,52,15.87,1.14,18,0.1,150,47.456,0.032
2017-09-08,KEKE160908,KEKE,Kelletia,kelletii,MOBILE,39,6.83,0.49,18,0.1,150,25.407,0.017
2017-09-08,KEKE170908,KEKE,Kelletia,kelletii,MOBILE,36,5.4,0.39,18,0.1,150,23.896,0.016
2017-09-08,KEKE180908,KEKE,Kelletia,kelletii,MOBILE,51,15,1.08,18,0.1,150,44.763,0.03
2017-09-08,KEKE190908,KEKE,Kelletia,kelletii,MOBILE,54.5,18.22,1.31,18,0.1,150,43.693,0.029
2017-09-08,KEKE200908,KEKE,Kelletia,kelletii,MOBILE,53,16.79,1.21,18,0.1,150,50.696,0.034
2017-09-08,KEKE210908,KEKE,Kelletia,kelletii,MOBILE,51,15,1.08,18,0.1,150,67.401,0.045
2017-09-08,KEKE230908,KEKE,Kelletia,kelletii,MOBILE,49.5,13.74,0.99,18,0.1,150,49.544,0.033
2017-09-08,KEKE240908,KEKE,Kelletia,kelletii,MOBILE,49,13.34,0.96,18,0.1,150,46.323,0.031
2017-09-08,KEKE250908,KEKE,Kelletia,kelletii,MOBILE,44,9.73,0.7,18,0.1,150,41.769,0.028
2017-09-08,KEKE280908,KEKE,Kelletia,kelletii,MOBILE,58,21.86,1.57,18,0.1,150,55.422,0.037
2017-09-08,KEKE290908,KEKE,Kelletia,kelletii,MOBILE,52,15.87,1.14,18,0.1,150,55.881,0.037
2017-09-08,KEKE300908,KEKE,Kelletia,kelletii,MOBILE,46,11.08,0.8,18,0.1,150,49.997,0.033
2017-09-08,KEKE260908,KEKE,Kelletia,kelletii,MOBILE,33,4.18,0.3,18,0.07,150,33.326,0.016
2017-09-08,KEKE270908,KEKE,Kelletia,kelletii,MOBILE,39,6.83,0.49,18,0.07,150,53.783,0.025
2017-11-17,LIGL11117,LIGL,Lithopoma,spp.,MOBILE,110,395.96,63.354,17.3,2,60,17.51,0.584
2017-11-17,LIGL21117,LIGL,Lithopoma,spp.,MOBILE,110.5,401.06,64.17,17.3,2,60,7.79,0.26
2017-11-17,LIGL31117,LIGL,Lithopoma,spp.,MOBILE,120,506.21,80.994,17.3,2,60,16.46,0.549
2017-11-17,LIGL41117,LIGL,Lithopoma,spp.,MOBILE,105,347.23,55.557,17.3,2,60,16.83,0.561
2017-11-17,LIGL51117,LIGL,Lithopoma,spp.,MOBILE,115.1,450,72.001,17.3,2,60,21.85,0.728
2017-11-17,LIGL61117,LIGL,Lithopoma,spp.,MOBILE,120.1,507.4,81.185,17.3,2,60,19.22,0.641
2017-09-11,LIGL40911,LIGL,Lithopoma,spp.,MOBILE,84,130.01,20.802,18,1,60,3.47,0.058
2017-09-11,LIGL50911,LIGL,Lithopoma,spp.,MOBILE,85.5,133.98,21.437,18,1,60,3.28,0.055
2017-09-11,LIGL60911,LIGL,Lithopoma,spp.,MOBILE,83.5,126.12,20.179,18,1,60,5.58,0.093
