#,"Castorani, M.C. 2000. Abundance and biomass of seagrass-associated"
#,"invertebrates in the Virginia coastal lagoons, 2019. Virginia Coast Reserve"
#,"Long-Term Ecological Research Project Data Publication knb-lter-vcr.373.4"
#,"(http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.373)"
#,
#,This dataset is distributed by the Virginia Coast Reserve Long-Term Ecological
#,Research Project and use is subject to the VCR/LTER Data Access Policy
#,(http://www.vcrlter.virginia.edu/data/docs/IMPolicy_VCRLTER06.pdf). Data users
#,working on scientific papers are encouraged to contact the data authors
#,regarding availability of updated data and/or possible collaborations.
#,
#,Full metadata descriptions are available at:
#,http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.3
#,For additional information about the data contact: Max Castorani
#,(castorani@virginia.edu)
#,
#,Collection and/or distribution of this data was supported by National Science
#,Foundation grants BSR-8702333-06; DEB-9211772; DEB-9411974; DEB-0080381,
#,DEB-0621014, DEB-1237733 and DEB-1832221. VCR/LTER:
#,http://www.vcrlter.virginia.edu
#,# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #
year,meadow,fauna_group,site,latitude,longitude,sampling_scheme,collection_method,replicate_id,taxon,sampling_area_m2,Count_m2,DryMass_g_m2
2019,cobb,infauna,cb1,37.343054,-75.790257,transect,core,1,amphipods,0.0182,165,0.0495
2019,cobb,infauna,cb1,37.343054,-75.790257,transect,core,1,bivalves,0.0182,55,NA
2019,cobb,infauna,cb1,37.343054,-75.790257,transect,core,1,crabs,0.0182,0,NA
2019,cobb,infauna,cb1,37.343054,-75.790257,transect,core,1,gastropods,0.0182,110,NA
2019,cobb,infauna,cb1,37.343054,-75.790257,transect,core,1,isopods,0.0182,0,0
2019,cobb,infauna,cb1,37.343054,-75.790257,transect,core,1,shrimp,0.0182,0,NA
2019,cobb,infauna,cb1,37.343054,-75.790257,transect,core,1,worms,0.0182,934,11.3297
2019,cobb,infauna,cb1,37.343054,-75.790257,transect,core,2,amphipods,0.0182,769,0.3626
2019,cobb,infauna,cb1,37.343054,-75.790257,transect,core,2,bivalves,0.0182,55,NA
2019,cobb,infauna,cb1,37.343054,-75.790257,transect,core,2,crabs,0.0182,0,NA
2019,cobb,infauna,cb1,37.343054,-75.790257,transect,core,2,gastropods,0.0182,220,NA
2019,cobb,infauna,cb1,37.343054,-75.790257,transect,core,2,isopods,0.0182,0,0
2019,cobb,infauna,cb1,37.343054,-75.790257,transect,core,2,shrimp,0.0182,0,NA
2019,cobb,infauna,cb1,37.343054,-75.790257,transect,core,2,worms,0.0182,549,4.0055
2019,cobb,infauna,cb1,37.343054,-75.790257,transect,core,3,amphipods,0.0182,NA,NA
2019,cobb,infauna,cb1,37.343054,-75.790257,transect,core,3,bivalves,0.0182,165,NA
2019,cobb,infauna,cb1,37.343054,-75.790257,transect,core,3,crabs,0.0182,0,NA
2019,cobb,infauna,cb1,37.343054,-75.790257,transect,core,3,gastropods,0.0182,330,NA
2019,cobb,infauna,cb1,37.343054,-75.790257,transect,core,3,isopods,0.0182,0,0
2019,cobb,infauna,cb1,37.343054,-75.790257,transect,core,3,shrimp,0.0182,0,NA
2019,cobb,infauna,cb1,37.343054,-75.790257,transect,core,3,worms,0.0182,440,3.956
2019,cobb,infauna,cb2,37.335647,-75.78929,transect,core,1,amphipods,0.0182,0,0
2019,cobb,infauna,cb2,37.335647,-75.78929,transect,core,1,bivalves,0.0182,0,NA
2019,cobb,infauna,cb2,37.335647,-75.78929,transect,core,1,crabs,0.0182,0,NA
2019,cobb,infauna,cb2,37.335647,-75.78929,transect,core,1,gastropods,0.0182,0,NA
2019,cobb,infauna,cb2,37.335647,-75.78929,transect,core,1,isopods,0.0182,0,0
2019,cobb,infauna,cb2,37.335647,-75.78929,transect,core,1,shrimp,0.0182,0,NA
2019,cobb,infauna,cb2,37.335647,-75.78929,transect,core,1,worms,0.0182,0,0
2019,cobb,infauna,cb2,37.335647,-75.78929,transect,core,2,amphipods,0.0182,0,0
