Species,common_name
Anchoa mitchilli,Bay Anchovy
Archosargus probatocephalus,Sheepshead
Atheriniformes,Silversides
Bairdiella chrysoura,Silver Perch
Brevoortia tyrannus,Menhaden
Centropristis striata,Black Sea Bass
Chilomycterus schoepfi,Striped burrfish
Coleoidea,Squid
Cynoscion nebulosus,Speckled Trout
Engraulidae,American Anchovy
Fistularia tabacaria,Bluespotted Cornetfish
Gerreidae,Mojarra
Gobiesox strumosus,Skilletfish
Gobioidei,Goby
Hippocampus,Seahorse
Hyporhamphus meeki,American Halfbeak
Lagodon rhomboides,Pinfish
Leiostomus xanthurus,Spot
Lutjanus griseus,Mangrove Snapper
Meiacanthus grammistes,Striped Blenny
Micropogonias undulatus,Croaker
Monacanthidae,Filefish
Mugilidae,Sand Mullet
Opsanus tau,Oyster Toad
Orthopristis chrysoptera,Pigfish
Paralichthys dentatus,Summer Flounder
Peprilus triacanthus,Butterfish
Pomatomus saltatrix,Bluefish
Sciaenid,Unknown Sciaenid
Sphyraena borealis,Northern Sennet
Stenotomus chrysops,Scup
Strongylura marina,Atlantic Needlefish
Syngnathinae,Pipefish
Tautoga onitis,Tautog
Tetraodontidae,Pufferfish
